outcome,threshold,threshold_tag,year_start,year_end,file_path,file_type,required_band_pattern,source_workflow,exists,crs,resolution_x,resolution_y,nrow,ncol,extent
fire,0.10,tau010,2001,2020,data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif,fire_stack,"*_fire_season_*;*_fireDOY_season_*",tau_var,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
fire,0.25,tau025,2001,2020,data/tau_var/FireCCI51_season_DOYmin_tau025_and_binary_2001_2020_500m_epsg32735.tif,fire_stack,"*_fire_season_*;*_fireDOY_season_*",tau_var,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
fire,0.50,tau050,2001,2020,data/tau_var/FireCCI51_season_DOYmin_tau050_and_binary_2001_2020_500m_epsg32735.tif,fire_stack,"*_fire_season_*;*_fireDOY_season_*",tau_var,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
fire,0.10,tau010,2021,2021,data/fire_precomputed_500m/fireBurned_AprOct_2021_500m_tau010.tif,fire_annual_binary,fireDOY_max_native,fire_precomputed_500m,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
fire,0.10,tau010,2022,2022,data/fire_precomputed_500m/fireBurned_AprOct_2022_500m_tau010.tif,fire_annual_binary,fireDOY_max_native,fire_precomputed_500m,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
fire,0.25,tau025,2021,2021,data/fire_precomputed_500m/fireBurned_AprOct_2021_500m_tau025.tif,fire_annual_binary,fireDOY_max_native,fire_precomputed_500m,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
fire,0.25,tau025,2022,2022,data/fire_precomputed_500m/fireBurned_AprOct_2022_500m_tau025.tif,fire_annual_binary,fireDOY_max_native,fire_precomputed_500m,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
fire,0.50,tau050,2021,2021,data/fire_precomputed_500m/fireBurned_AprOct_2021_500m_tau050.tif,fire_annual_binary,fireDOY_max_native,fire_precomputed_500m,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
fire,0.50,tau050,2022,2022,data/fire_precomputed_500m/fireBurned_AprOct_2022_500m_tau050.tif,fire_annual_binary,fireDOY_max_native,fire_precomputed_500m,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
tree_cover_loss,0.10,tau010,2001,2022,data/tau_var/gfc_year_deforest_majority_tau010_500m_epsg32735.tif,event_year,year_deforest_majority_tau,tau_var,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
tree_cover_loss,0.25,tau025,2001,2022,data/tau_var/gfc_year_deforest_majority_tau025_500m_epsg32735.tif,event_year,year_deforest_majority_tau,tau_var,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
tree_cover_loss,0.50,tau050,2001,2022,data/tau_var/gfc_year_deforest_majority_tau050_500m_epsg32735.tif,event_year,year_deforest_majority_tau,tau_var,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
agriculture,0.10,tau010,2001,2022,data/agri_precomputed_500m/year_agri_500m_tau010_2001_2022.tif,event_year,year_agri,agri_precomputed_500m,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
agriculture,0.25,tau025,2001,2022,data/agri_precomputed_500m/year_agri_500m_tau025_2001_2022.tif,event_year,year_agri,agri_precomputed_500m,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
agriculture,0.50,tau050,2001,2022,data/agri_precomputed_500m/year_agri_500m_tau050_2001_2022.tif,event_year,year_agri,agri_precomputed_500m,TRUE,EPSG:32735,500,500,579,447,"332000,555500,8848500,9138000"
