"logical_id","expected_relative_path","description","source_product","source_version","years","spatial_resolution","required_by_script","original_local_path_redacted","size_bytes","sha256","checksum_status","redistribution_status","sensitivity_status","reconstruction_instruction"
"fire_tau010","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2001-2020","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"fire_tau025","data/tau_var/FireCCI51_season_DOYmin_tau025_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2001-2020","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau025_and_binary_2001_2020_500m_epsg32735.tif","5088495","392761ef4aca4ce3eafcdd532acb82fe9c7b3e0648dd54015a8ec25719eec215","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"fire_tau050","data/tau_var/FireCCI51_season_DOYmin_tau050_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2001-2020","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau050_and_binary_2001_2020_500m_epsg32735.tif","4655220","597a55ffc82568c0e95254fc41b7fc26d4d28caaee2a72b04a61c471379cb70b","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"fire_tau010","data/fire_precomputed_500m/fireBurned_AprOct_2021_500m_tau010.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2021-2021","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/fire_precomputed_500m/fireBurned_AprOct_2021_500m_tau010.tif","30053","22e0d95b756790fcd27c1a676eceac327520328585738ad6d22fe76c5d2683d1","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"fire_tau010","data/fire_precomputed_500m/fireBurned_AprOct_2022_500m_tau010.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2022-2022","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/fire_precomputed_500m/fireBurned_AprOct_2022_500m_tau010.tif","29925","c1e102ea730128aa2f22cc998ce420c404ef466983e915b4257a06595c16b47d","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"fire_tau025","data/fire_precomputed_500m/fireBurned_AprOct_2021_500m_tau025.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2021-2021","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/fire_precomputed_500m/fireBurned_AprOct_2021_500m_tau025.tif","31509","b49c971d172d26fcf911db41483dc46efbc5c5c7eb8a845914105aadad4d748a","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"fire_tau025","data/fire_precomputed_500m/fireBurned_AprOct_2022_500m_tau025.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2022-2022","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/fire_precomputed_500m/fireBurned_AprOct_2022_500m_tau025.tif","31339","402b2d14bb90d14fb8395a7554da756da1685545028674d03f0a0d670216580f","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"fire_tau050","data/fire_precomputed_500m/fireBurned_AprOct_2021_500m_tau050.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2021-2021","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/fire_precomputed_500m/fireBurned_AprOct_2021_500m_tau050.tif","32923","17bda3b69e79b648dfca30247762a6d3e0ebcad105053cdf28a7fab9fc68a8de","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"fire_tau050","data/fire_precomputed_500m/fireBurned_AprOct_2022_500m_tau050.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2022-2022","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/fire_precomputed_500m/fireBurned_AprOct_2022_500m_tau050.tif","32321","99133cd021b774f1b9f6303d6964a82320513f55d584e00a8742e154980d6cc6","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tree_cover_loss_tau010","data/tau_var/gfc_year_deforest_majority_tau010_500m_epsg32735.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2001-2022","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/gfc_year_deforest_majority_tau010_500m_epsg32735.tif","35454","e1f4c6206d22f71e1ed3909be863f8b1e036b559a9426469d61c228335b9e56c","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
