"script","dependency_type","dependency","included_in_candidate","logical_path","required_for","notes"
"scripts/preprocessing/01_preprocess_fire_agriculture_sources.R","rast","rast(template_anchor_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/01_preprocess_fire_agriculture_sources.R","rast","rast(template_anchor_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/01_preprocess_fire_agriculture_sources.R","rast","rast(out_doy500)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/01_preprocess_fire_agriculture_sources.R","rast","rast(out_bin500)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/01_preprocess_fire_agriculture_sources.R","rast","rast(jf[1])","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/01_preprocess_fire_agriculture_sources.R","rast","rast(f)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/01_preprocess_fire_agriculture_sources.R","rast","rast(out_doy500)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/01_preprocess_fire_agriculture_sources.R","rast","rast(out_bin500)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/01_preprocess_fire_agriculture_sources.R","vect","vect(aoi_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/01_preprocess_fire_agriculture_sources.R","rast","rast(landmask500_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/01_preprocess_fire_agriculture_sources.R","rast","rast(agri_stack_fallback)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(template_anchor_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","vect","vect(aoi_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(landmask500_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(deforest500_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(tree2000mean500_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(built_year500_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(access500_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(dist_water500_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(climate500_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(soil500_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(dist_parc500_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(dist_zone500_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
