cell,SESU_ID,signed_distance_km,side,event_year,x_m,y_m,in_10km,old_event_year,old_side,old_distance,old_in_10km,matches
672,1,73.2461640625,outside,2018,444250,9137250,FALSE,2018,outside,73.2461640625,FALSE,TRUE
758,1,73.669875,outside,2001,487250,9137250,FALSE,2001,outside,73.669875,FALSE,TRUE
759,1,73.637625,outside,2019,487750,9137250,FALSE,2019,outside,73.637625,FALSE,TRUE
774,1,73.348484375,outside,2022,495250,9137250,FALSE,2022,outside,73.348484375,FALSE,TRUE
775,1,73.2546953125,outside,2021,495750,9137250,FALSE,2021,outside,73.2546953125,FALSE,TRUE
778,1,72.9931484375,outside,2008,497250,9137250,FALSE,2008,outside,72.9931484375,FALSE,TRUE
779,1,72.9126171875,outside,2012,497750,9137250,FALSE,2012,outside,72.9126171875,FALSE,TRUE
780,1,72.8354296875,outside,2014,498250,9137250,FALSE,2014,outside,72.8354296875,FALSE,TRUE
783,1,72.62403125,outside,2004,499750,9137250,FALSE,2004,outside,72.62403125,FALSE,TRUE
784,1,72.5603203125,outside,2005,500250,9137250,FALSE,2005,outside,72.5603203125,FALSE,TRUE
787,1,72.3895703125,outside,2016,501750,9137250,FALSE,2016,outside,72.3895703125,FALSE,TRUE
792,1,72.1733984375,outside,2002,504250,9137250,FALSE,2002,outside,72.1733984375,FALSE,TRUE
816,1,72.2495703125,outside,2017,516250,9137250,FALSE,2017,outside,72.2495703125,FALSE,TRUE
837,1,73.8664296875,outside,2020,526750,9137250,FALSE,2020,outside,73.8664296875,FALSE,TRUE
838,1,73.9797265625,outside,2019,527250,9137250,FALSE,2019,outside,73.9797265625,FALSE,TRUE
843,1,74.5938984375,outside,2014,529750,9137250,FALSE,2014,outside,74.5938984375,FALSE,TRUE
1118,1,72.790796875,outside,2022,443750,9136750,FALSE,2022,outside,72.790796875,FALSE,TRUE
1205,1,73.17103125,outside,2020,487250,9136750,FALSE,2020,outside,73.17103125,FALSE,TRUE
1221,1,72.857734375,outside,2016,495250,9136750,FALSE,2016,outside,72.857734375,FALSE,TRUE
1224,1,72.5844296875,outside,2014,496750,9136750,FALSE,2014,outside,72.5844296875,FALSE,TRUE
1225,1,72.5,outside,2013,497250,9136750,FALSE,2013,outside,72.5,FALSE,TRUE
1226,1,72.418921875,outside,2017,497750,9136750,FALSE,2017,outside,72.418921875,FALSE,TRUE
1227,1,72.341203125,outside,2021,498250,9136750,FALSE,2021,outside,72.341203125,FALSE,TRUE
1228,1,72.2668671875,outside,2009,498750,9136750,FALSE,2009,outside,72.2668671875,FALSE,TRUE
1232,1,72.00346875,outside,2004,500750,9136750,FALSE,2004,outside,72.00346875,FALSE,TRUE
1233,1,71.9461640625,outside,2013,501250,9136750,FALSE,2013,outside,71.9461640625,FALSE,TRUE
1234,1,71.89228125,outside,2013,501750,9136750,FALSE,2013,outside,71.89228125,FALSE,TRUE
1239,1,71.674609375,outside,2016,504250,9136750,FALSE,2016,outside,71.674609375,FALSE,TRUE
1281,1,73.056484375,outside,2022,525250,9136750,FALSE,2022,outside,73.056484375,FALSE,TRUE
1283,1,73.26834375,outside,2022,526250,9136750,FALSE,2022,outside,73.26834375,FALSE,TRUE
1284,1,73.37915625,outside,2021,526750,9136750,FALSE,2021,outside,73.37915625,FALSE,TRUE
1286,1,73.6104609375,outside,2019,527750,9136750,FALSE,2019,outside,73.6104609375,FALSE,TRUE
1290,1,74.11140625,outside,2022,529750,9136750,FALSE,2022,outside,74.11140625,FALSE,TRUE
1338,1,83.0090390625,outside,2022,553750,9136750,FALSE,2022,outside,83.0090390625,FALSE,TRUE
1666,1,72.515515625,outside,2016,494250,9136250,FALSE,2016,outside,72.515515625,FALSE,TRUE
1667,1,72.4655078125,outside,2012,494750,9136250,FALSE,2012,outside,72.4655078125,FALSE,TRUE
1670,1,72.180328125,outside,2006,496250,9136250,FALSE,2006,outside,72.180328125,FALSE,TRUE
1671,1,72.091953125,outside,2012,496750,9136250,FALSE,2012,outside,72.091953125,FALSE,TRUE
1672,1,72.0069453125,outside,2010,497250,9136250,FALSE,2010,outside,72.0069453125,FALSE,TRUE
1673,1,71.9253046875,outside,2013,497750,9136250,FALSE,2013,outside,71.9253046875,FALSE,TRUE
1677,1,71.6327421875,outside,2005,499750,9136250,FALSE,2005,outside,71.6327421875,FALSE,TRUE
1681,1,71.39503125,outside,2007,501750,9136250,FALSE,2007,outside,71.39503125,FALSE,TRUE
1683,1,71.2969140625,outside,2016,502750,9136250,FALSE,2016,outside,71.2969140625,FALSE,TRUE
1726,1,72.3671171875,outside,2015,524250,9136250,FALSE,2015,outside,72.3671171875,FALSE,TRUE
1728,1,72.5672109375,outside,2022,525250,9136250,FALSE,2022,outside,72.5672109375,FALSE,TRUE
1731,1,72.892046875,outside,2022,526750,9136250,FALSE,2022,outside,72.892046875,FALSE,TRUE
1733,1,73.124890625,outside,2009,527750,9136250,FALSE,2009,outside,73.124890625,FALSE,TRUE
1786,1,82.7647265625,outside,2022,554250,9136250,FALSE,2022,outside,82.7647265625,FALSE,TRUE
2113,1,72.015625,outside,2013,494250,9135750,FALSE,2013,outside,72.015625,FALSE,TRUE
2118,1,71.599578125,outside,2020,496750,9135750,FALSE,2020,outside,71.599578125,FALSE,TRUE
2119,1,71.513984375,outside,2005,497250,9135750,FALSE,2005,outside,71.513984375,FALSE,TRUE
2120,1,71.4317890625,outside,2014,497750,9135750,FALSE,2014,outside,71.4317890625,FALSE,TRUE
2122,1,71.277625,outside,2005,498750,9135750,FALSE,2005,outside,71.277625,FALSE,TRUE
2123,1,71.2056875,outside,2017,499250,9135750,FALSE,2017,outside,71.2056875,FALSE,TRUE
2129,1,70.8466640625,outside,2003,502250,9135750,FALSE,2003,outside,70.8466640625,FALSE,TRUE
2175,1,72.0780859375,outside,2021,525250,9135750,FALSE,2021,outside,72.0780859375,FALSE,TRUE
2178,1,72.405109375,outside,2004,526750,9135750,FALSE,2004,outside,72.405109375,FALSE,TRUE
2179,1,72.5206875,outside,2019,527250,9135750,FALSE,2019,outside,72.5206875,FALSE,TRUE
2230,1,81.685375,outside,2020,552750,9135750,FALSE,2020,outside,81.685375,FALSE,TRUE
2374,1,86.2670234375,outside,2016,401250,9135250,FALSE,2016,outside,86.2670234375,FALSE,TRUE
2520,1,71.89228125,outside,2018,474250,9135250,FALSE,2018,outside,71.89228125,FALSE,TRUE
2551,1,71.5436953125,outside,2015,489750,9135250,FALSE,2015,outside,71.5436953125,FALSE,TRUE
2552,1,71.52796875,outside,2021,490250,9135250,FALSE,2021,outside,71.52796875,FALSE,TRUE
2566,1,71.021125,outside,2003,497250,9135250,FALSE,2003,outside,71.021125,FALSE,TRUE
2567,1,70.9383515625,outside,2018,497750,9135250,FALSE,2018,outside,70.9383515625,FALSE,TRUE
2568,1,70.859015625,outside,2008,498250,9135250,FALSE,2008,outside,70.859015625,FALSE,TRUE
2571,1,70.641703125,outside,2013,499750,9135250,FALSE,2013,outside,70.641703125,FALSE,TRUE
2622,1,71.5891015625,outside,2016,525250,9135250,FALSE,2016,outside,71.5891015625,FALSE,TRUE
2862,1,76.04275,outside,2017,421750,9134750,FALSE,2017,outside,76.04275,FALSE,TRUE
2955,1,71.01584375,outside,2001,468250,9134750,FALSE,2001,outside,71.01584375,FALSE,TRUE
2956,1,71.0281640625,outside,2008,468750,9134750,FALSE,2008,outside,71.0281640625,FALSE,TRUE
2995,1,71.1125859375,outside,2016,488250,9134750,FALSE,2016,outside,71.1125859375,FALSE,TRUE
2996,1,71.08621875,outside,2016,488750,9134750,FALSE,2016,outside,71.08621875,FALSE,TRUE
2997,1,71.0633515625,outside,2017,489250,9134750,FALSE,2017,outside,71.0633515625,FALSE,TRUE
2998,1,71.044,outside,2005,489750,9134750,FALSE,2005,outside,71.044,FALSE,TRUE
2999,1,71.0281640625,outside,2017,490250,9134750,FALSE,2017,outside,71.0281640625,FALSE,TRUE
3010,1,70.7990078125,outside,2017,495750,9134750,FALSE,2017,outside,70.7990078125,FALSE,TRUE
3011,1,70.705375,outside,2005,496250,9134750,FALSE,2005,outside,70.705375,FALSE,TRUE
3012,1,70.61515625,outside,2005,496750,9134750,FALSE,2005,outside,70.61515625,FALSE,TRUE
3014,1,70.445015625,outside,2014,497750,9134750,FALSE,2014,outside,70.445015625,FALSE,TRUE
3015,1,70.3651171875,outside,2004,498250,9134750,FALSE,2004,outside,70.3651171875,FALSE,TRUE
3070,1,71.2074453125,outside,2019,525750,9134750,FALSE,2019,outside,71.2074453125,FALSE,TRUE
3076,1,71.92009375,outside,2018,528750,9134750,FALSE,2018,outside,71.92009375,FALSE,TRUE
3309,1,75.5794296875,outside,2018,421750,9134250,FALSE,2018,outside,75.5794296875,FALSE,TRUE
3310,1,75.3923046875,outside,2009,422250,9134250,FALSE,2009,outside,75.3923046875,FALSE,TRUE
3402,1,70.515953125,outside,2013,468250,9134250,FALSE,2013,outside,70.515953125,FALSE,TRUE
3441,1,70.64346875,outside,2017,487750,9134250,FALSE,2017,outside,70.64346875,FALSE,TRUE
3443,1,70.586828125,outside,2004,488750,9134250,FALSE,2004,outside,70.586828125,FALSE,TRUE
3445,1,70.5443125,outside,2018,489750,9134250,FALSE,2018,outside,70.5443125,FALSE,TRUE
3446,1,70.528359375,outside,2022,490250,9134250,FALSE,2022,outside,70.528359375,FALSE,TRUE
3447,1,70.515953125,outside,2016,490750,9134250,FALSE,2016,outside,70.515953125,FALSE,TRUE
3448,1,70.50709375,outside,2017,491250,9134250,FALSE,2017,outside,70.50709375,FALSE,TRUE
3450,1,70.5,outside,2016,492250,9134250,FALSE,2016,outside,70.5,FALSE,TRUE
3460,1,70.035703125,outside,2015,497250,9134250,FALSE,2015,outside,70.035703125,FALSE,TRUE
3756,1,75.116578125,outside,2005,421750,9133750,FALSE,2005,outside,75.116578125,FALSE,TRUE
3757,1,74.928296875,outside,2022,422250,9133750,FALSE,2022,outside,74.928296875,FALSE,TRUE
3888,1,70.1444921875,outside,2020,487750,9133750,FALSE,2020,outside,70.1444921875,FALSE,TRUE
3891,1,70.0642578125,outside,2004,489250,9133750,FALSE,2004,outside,70.0642578125,FALSE,TRUE
3894,1,70.0160703125,outside,2005,490750,9133750,FALSE,2005,outside,70.0160703125,FALSE,TRUE
3895,1,70.007140625,outside,2019,491250,9133750,FALSE,2019,outside,70.007140625,FALSE,TRUE
3896,1,70.0017890625,outside,2013,491750,9133750,FALSE,2013,outside,70.0017890625,FALSE,TRUE
3897,1,70,outside,2013,492250,9133750,FALSE,2013,outside,70,FALSE,TRUE
3908,1,69.4586171875,outside,2004,497750,9133750,FALSE,2004,outside,69.4586171875,FALSE,TRUE
3914,1,69.025359375,outside,2004,500750,9133750,FALSE,2004,outside,69.025359375,FALSE,TRUE
4204,1,74.4647578125,outside,2018,422250,9133250,FALSE,2018,outside,74.4647578125,FALSE,TRUE
