analysis,SESU_ID,side,year,governance_profile,n,y,outcome,landscape_group
first_crossing_full,1,outside,2001,Neither actor dominant,10019,4,agriculture,Depression
first_crossing_full,1,inside,2001,Neither actor dominant,7612,4,agriculture,Depression
first_crossing_restricted,1,outside,2001,Neither actor dominant,10019,4,agriculture,Depression
first_crossing_restricted,1,inside,2001,Neither actor dominant,7612,4,agriculture,Depression
persistence_corrected,1,outside,2001,Neither actor dominant,10019,3,agriculture,Depression
persistence_corrected,1,inside,2001,Neither actor dominant,7612,4,agriculture,Depression
annual_presence,1,outside,2001,Neither actor dominant,10019,253,agriculture,Depression
annual_presence,1,inside,2001,Neither actor dominant,7612,113,agriculture,Depression
first_crossing_full,1,outside,2002,Neither actor dominant,10015,13,agriculture,Depression
first_crossing_full,1,inside,2002,Neither actor dominant,7608,6,agriculture,Depression
first_crossing_restricted,1,outside,2002,Neither actor dominant,10015,13,agriculture,Depression
first_crossing_restricted,1,inside,2002,Neither actor dominant,7608,6,agriculture,Depression
persistence_corrected,1,outside,2002,Neither actor dominant,10016,12,agriculture,Depression
persistence_corrected,1,inside,2002,Neither actor dominant,7608,6,agriculture,Depression
annual_presence,1,outside,2002,Neither actor dominant,10019,263,agriculture,Depression
annual_presence,1,inside,2002,Neither actor dominant,7612,118,agriculture,Depression
first_crossing_full,1,outside,2003,Neither actor dominant,10002,4,agriculture,Depression
first_crossing_full,1,inside,2003,Neither actor dominant,7602,4,agriculture,Depression
first_crossing_restricted,1,outside,2003,Neither actor dominant,10002,4,agriculture,Depression
first_crossing_restricted,1,inside,2003,Neither actor dominant,7602,4,agriculture,Depression
persistence_corrected,1,outside,2003,Neither actor dominant,10004,4,agriculture,Depression
persistence_corrected,1,inside,2003,Neither actor dominant,7602,4,agriculture,Depression
annual_presence,1,outside,2003,Neither actor dominant,10019,264,agriculture,Depression
annual_presence,1,inside,2003,Neither actor dominant,7612,120,agriculture,Depression
first_crossing_full,1,outside,2004,Militia dominant,9998,21,agriculture,Depression
first_crossing_full,1,inside,2004,Militia dominant,7598,20,agriculture,Depression
first_crossing_restricted,1,outside,2004,Militia dominant,9998,21,agriculture,Depression
first_crossing_restricted,1,inside,2004,Militia dominant,7598,20,agriculture,Depression
persistence_corrected,1,outside,2004,Militia dominant,10000,18,agriculture,Depression
persistence_corrected,1,inside,2004,Militia dominant,7598,13,agriculture,Depression
annual_presence,1,outside,2004,Militia dominant,10019,288,agriculture,Depression
