cell,SESU_ID,signed_distance_km,side,x_m,y_m,block,original_event,persistent_event,original_observed_through,persistent_observed_through,baseline_agricultural
58795,1,8.01560986328125,outside,450750,9072250,1_90_1814,2016,,2022,2019,FALSE
61076,1,8.8459033203125,outside,473750,9069750,1_94_1813,2019,2019,2022,2019,FALSE
61077,1,9.1923876953125,outside,474250,9069750,1_94_1813,2018,2018,2022,2019,FALSE
61524,1,8.8459033203125,outside,474250,9069250,1_94_1813,2019,2019,2022,2019,FALSE
61525,1,9.1787802734375,outside,474750,9069250,1_94_1813,2022,,2022,2019,FALSE
62414,1,6.72681201171875,outside,472250,9068250,1_94_1813,2022,,2022,2019,FALSE
64657,1,7.15891064453125,outside,476250,9065750,1_95_1813,2014,2014,2022,2019,TRUE
65097,1,4.71699072265625,outside,472750,9065250,1_94_1813,2019,2019,2022,2019,FALSE
65107,1,7.15891064453125,outside,477750,9065250,1_95_1813,2006,2006,2022,2019,FALSE
65543,1,4.03112890625,outside,472250,9064750,1_94_1812,2018,2018,2022,2019,FALSE
65547,1,5.31507275390625,outside,474250,9064750,1_94_1812,2021,,2022,2019,FALSE
65999,1,5.85235009765625,outside,476750,9064250,1_95_1812,2006,2006,2022,2019,FALSE
66436,1,2.91547583007813,outside,471750,9063750,1_94_1812,2014,2014,2022,2019,FALSE
66437,1,3.20156201171875,outside,472250,9063750,1_94_1812,2019,2019,2022,2019,FALSE
66438,1,3.53553393554688,outside,472750,9063750,1_94_1812,2021,,2022,2019,FALSE
66445,1,5.2201533203125,outside,476250,9063750,1_95_1812,2020,,2022,2019,FALSE
66446,1,5.3851650390625,outside,476750,9063750,1_95_1812,2018,2018,2022,2019,FALSE
66878,1,1.11803393554687,outside,469250,9063250,1_93_1812,2021,,2022,2019,FALSE
66881,1,2.061552734375,outside,470750,9063250,1_94_1812,2019,2019,2022,2019,FALSE
66882,1,2.23606787109375,outside,471250,9063250,1_94_1812,2016,2016,2022,2019,FALSE
66883,1,2.5,outside,471750,9063250,1_94_1812,2013,2013,2022,2019,FALSE
66884,1,2.82842724609375,outside,472250,9063250,1_94_1812,2019,2019,2022,2019,FALSE
66885,1,3.20156201171875,outside,472750,9063250,1_94_1812,2021,,2022,2019,FALSE
66890,1,4.5276923828125,outside,475250,9063250,1_95_1812,2018,2018,2022,2019,FALSE
66892,1,4.74341650390625,outside,476250,9063250,1_95_1812,2022,,2022,2019,FALSE
66893,1,4.9244287109375,outside,476750,9063250,1_95_1812,2022,,2022,2019,FALSE
67325,1,0.707106811523437,outside,469250,9062750,1_93_1812,2021,,2022,2019,FALSE
67328,1,1.58113879394531,outside,470750,9062750,1_94_1812,2021,,2022,2019,FALSE
67329,1,1.80277563476563,outside,471250,9062750,1_94_1812,2018,2018,2022,2019,FALSE
