SESU_ID,side,year,n_reconstructed,n_primary,y_reconstructed,y_primary
1,inside,2001,7612,7612,4,4
1,inside,2002,7608,7608,6,6
1,inside,2003,7602,7602,4,4
1,inside,2004,7598,7598,20,20
1,inside,2005,7578,7578,3,3
1,inside,2006,7575,7575,0,0
1,inside,2007,7575,7575,2,2
1,inside,2008,7573,7573,5,5
1,inside,2009,7568,7568,11,11
1,inside,2010,7557,7557,19,19
1,inside,2011,7538,7538,9,9
1,inside,2012,7529,7529,10,10
1,inside,2013,7519,7519,25,25
1,inside,2014,7494,7494,26,26
1,inside,2015,7468,7468,14,14
1,inside,2016,7454,7454,22,22
1,inside,2017,7432,7432,22,22
1,inside,2018,7410,7410,22,22
1,inside,2019,7388,7388,5,5
1,inside,2020,7383,7383,7,7
1,inside,2021,7376,7376,8,8
1,inside,2022,7368,7368,10,10
1,outside,2001,10019,10019,4,4
1,outside,2002,10015,10015,13,13
1,outside,2003,10002,10002,4,4
1,outside,2004,9998,9998,21,21
1,outside,2005,9977,9977,5,5
1,outside,2006,9972,9972,12,12
1,outside,2007,9960,9960,7,7
1,outside,2008,9953,9953,3,3
1,outside,2009,9950,9950,7,7
1,outside,2010,9943,9943,9,9
1,outside,2011,9934,9934,2,2
1,outside,2012,9932,9932,3,3
1,outside,2013,9929,9929,22,22
1,outside,2014,9907,9907,20,20
1,outside,2015,9887,9887,8,8
1,outside,2016,9879,9879,10,10
1,outside,2017,9869,9869,28,28
1,outside,2018,9841,9841,20,20
1,outside,2019,9821,9821,12,12
1,outside,2020,9809,9809,14,14
1,outside,2021,9795,9795,20,20
1,outside,2022,9775,9775,17,17
3,inside,2001,12936,12936,0,0
3,inside,2002,12936,12936,0,0
3,inside,2003,12936,12936,0,0
3,inside,2004,12936,12936,0,0
3,inside,2005,12936,12936,0,0
3,inside,2006,12936,12936,0,0
3,inside,2007,12936,12936,0,0
3,inside,2008,12936,12936,0,0
3,inside,2009,12936,12936,0,0
3,inside,2010,12936,12936,0,0
3,inside,2011,12936,12936,0,0
3,inside,2012,12936,12936,0,0
3,inside,2013,12936,12936,0,0
3,inside,2014,12936,12936,0,0
3,inside,2015,12936,12936,0,0
3,inside,2016,12936,12936,0,0
3,inside,2017,12936,12936,0,0
3,inside,2018,12936,12936,0,0
3,inside,2019,12936,12936,0,0
3,inside,2020,12936,12936,0,0
3,inside,2021,12936,12936,0,0
3,inside,2022,12936,12936,0,0
3,outside,2001,11987,11987,0,0
3,outside,2002,11987,11987,0,0
3,outside,2003,11987,11987,0,0
3,outside,2004,11987,11987,0,0
3,outside,2005,11987,11987,0,0
3,outside,2006,11987,11987,0,0
3,outside,2007,11987,11987,0,0
3,outside,2008,11987,11987,0,0
3,outside,2009,11987,11987,0,0
3,outside,2010,11987,11987,0,0
3,outside,2011,11987,11987,1,1
3,outside,2012,11986,11986,0,0
3,outside,2013,11986,11986,0,0
3,outside,2014,11986,11986,0,0
3,outside,2015,11986,11986,0,0
3,outside,2016,11986,11986,0,0
3,outside,2017,11986,11986,2,2
3,outside,2018,11984,11984,0,0
3,outside,2019,11984,11984,0,0
3,outside,2020,11984,11984,0,0
3,outside,2021,11984,11984,0,0
3,outside,2022,11984,11984,0,0
