analysis,governance_profile,estimate,replicate
first_crossing_full,Neither actor dominant,0.377234761404927,1
first_crossing_full,Militia dominant,0.459809941296007,1
first_crossing_full,Park dominant,-0.240629939126065,1
first_crossing_restricted,Neither actor dominant,0.293081225490217,1
first_crossing_restricted,Militia dominant,0.369103275879,1
first_crossing_restricted,Park dominant,0.0574499218121758,1
persistence_corrected,Neither actor dominant,0.353592435008266,1
persistence_corrected,Militia dominant,0.393916973309919,1
persistence_corrected,Park dominant,0.011909998968294,1
annual_presence,Neither actor dominant,-0.352438510901873,1
annual_presence,Militia dominant,-0.041233470640467,1
annual_presence,Park dominant,0.175700962888888,1
first_crossing_full,Neither actor dominant,0.510419770784156,2
first_crossing_full,Militia dominant,0.633572546008179,2
first_crossing_full,Park dominant,-0.183141514472733,2
first_crossing_restricted,Neither actor dominant,0.427658164891817,2
first_crossing_restricted,Militia dominant,0.54355049027371,2
first_crossing_restricted,Park dominant,-0.0265036347146647,2
persistence_corrected,Neither actor dominant,0.517736173543733,2
persistence_corrected,Militia dominant,0.566248503245505,2
persistence_corrected,Park dominant,-0.0832179005814152,2
annual_presence,Neither actor dominant,-1.72840746421131,2
annual_presence,Militia dominant,-1.44760869159438,2
annual_presence,Park dominant,-1.14962829132739,2
first_crossing_full,Neither actor dominant,0.139063520370462,3
first_crossing_full,Militia dominant,0.285149499197476,3
first_crossing_full,Park dominant,0.0713120268596093,3
first_crossing_restricted,Neither actor dominant,0.0835687436724956,3
first_crossing_restricted,Militia dominant,0.222026581865076,3
first_crossing_restricted,Park dominant,0.262265715025472,3
persistence_corrected,Neither actor dominant,0.218500828131001,3
persistence_corrected,Militia dominant,0.207960518647728,3
persistence_corrected,Park dominant,0.154604656706936,3
annual_presence,Neither actor dominant,-1.52998459584223,3
annual_presence,Militia dominant,-1.33462859309311,3
annual_presence,Park dominant,-1.13475536248695,3
first_crossing_full,Neither actor dominant,0.245483164928589,4
first_crossing_full,Militia dominant,0.242012288948575,4
first_crossing_full,Park dominant,-0.0635035490599296,4
first_crossing_restricted,Neither actor dominant,0.20269946960287,4
first_crossing_restricted,Militia dominant,0.197297506631703,4
first_crossing_restricted,Park dominant,0.0489004049383062,4
persistence_corrected,Neither actor dominant,0.237759192671329,4
persistence_corrected,Militia dominant,0.140808810913302,4
persistence_corrected,Park dominant,0.100193818989355,4
annual_presence,Neither actor dominant,-0.493942168648087,4
annual_presence,Militia dominant,-0.294361610192156,4
annual_presence,Park dominant,-0.0541339343366284,4
first_crossing_full,Neither actor dominant,0.587633026506188,5
first_crossing_full,Militia dominant,0.0463817612750308,5
first_crossing_full,Park dominant,-0.173274714514778,5
first_crossing_restricted,Neither actor dominant,0.532146508464625,5
first_crossing_restricted,Militia dominant,-0.0142101298246665,5
first_crossing_restricted,Park dominant,-0.103062996626359,5
persistence_corrected,Neither actor dominant,0.576255555714382,5
persistence_corrected,Militia dominant,-0.032832741302354,5
persistence_corrected,Park dominant,-0.104776081200424,5
annual_presence,Neither actor dominant,-2.07469204464054,5
annual_presence,Militia dominant,-1.81244349659532,5
annual_presence,Park dominant,-1.52565522260755,5
first_crossing_full,Neither actor dominant,-0.0167992008851916,6
first_crossing_full,Militia dominant,0.454480884975495,6
first_crossing_full,Park dominant,0.0173681230613306,6
first_crossing_restricted,Neither actor dominant,-0.0826694386400911,6
first_crossing_restricted,Militia dominant,0.383802089905292,6
first_crossing_restricted,Park dominant,0.219680706852519,6
persistence_corrected,Neither actor dominant,-0.0380628336678898,6
persistence_corrected,Militia dominant,0.349102844486126,6
persistence_corrected,Park dominant,0.244190074379917,6
annual_presence,Neither actor dominant,-1.82721855699534,6
annual_presence,Militia dominant,-1.60194525274449,6
annual_presence,Park dominant,-1.35721417504876,6
first_crossing_full,Neither actor dominant,0.251197580806902,7
first_crossing_full,Militia dominant,0.355422967731334,7
first_crossing_full,Park dominant,-0.472428074694265,7
first_crossing_restricted,Neither actor dominant,0.218053887810608,7
first_crossing_restricted,Militia dominant,0.319653830390705,7
first_crossing_restricted,Park dominant,-0.575815845060553,7
persistence_corrected,Neither actor dominant,0.257082956973547,7
persistence_corrected,Militia dominant,0.301368765853269,7
persistence_corrected,Park dominant,-0.511718866203732,7
annual_presence,Neither actor dominant,-2.23424649889352,7
annual_presence,Militia dominant,-1.89551971122259,7
annual_presence,Park dominant,-1.58512009066053,7
first_crossing_full,Neither actor dominant,0.56606682883881,8
first_crossing_full,Militia dominant,0.679654630663536,8
first_crossing_full,Park dominant,-0.127554394027722,8
first_crossing_restricted,Neither actor dominant,0.517900310883451,8
first_crossing_restricted,Militia dominant,0.626991251829877,8
first_crossing_restricted,Park dominant,-0.0597638470092162,8
persistence_corrected,Neither actor dominant,0.561467230765063,8
persistence_corrected,Militia dominant,0.652832528495676,8
persistence_corrected,Park dominant,-0.09395179374878,8
annual_presence,Neither actor dominant,-0.303692198231858,8
annual_presence,Militia dominant,-0.0109766813281635,8
annual_presence,Park dominant,0.274300220016495,8
first_crossing_full,Neither actor dominant,0.836137530309221,9
first_crossing_full,Militia dominant,1.3577680246324,9
first_crossing_full,Park dominant,-0.150974991846343,9
first_crossing_restricted,Neither actor dominant,0.712082702923801,9
first_crossing_restricted,Militia dominant,1.21561487401934,9
first_crossing_restricted,Park dominant,0.231676931951886,9
persistence_corrected,Neither actor dominant,0.802710464502153,9
persistence_corrected,Militia dominant,1.33729940075032,9
persistence_corrected,Park dominant,0.217103604892527,9
annual_presence,Neither actor dominant,0.108237761458792,9
annual_presence,Militia dominant,0.433493934369257,9
annual_presence,Park dominant,0.55048991942397,9
first_crossing_full,Neither actor dominant,0.310735663111808,10
first_crossing_full,Militia dominant,-0.179609358471276,10
first_crossing_full,Park dominant,-0.479110193774728,10
first_crossing_restricted,Neither actor dominant,0.244288751838111,10
first_crossing_restricted,Militia dominant,-0.248129335960822,10
first_crossing_restricted,Park dominant,-0.264655279273345,10
persistence_corrected,Neither actor dominant,0.277403125978784,10
persistence_corrected,Militia dominant,-0.290307153869865,10
persistence_corrected,Park dominant,-0.178388571347992,10
annual_presence,Neither actor dominant,-0.481356698177553,10
annual_presence,Militia dominant,-0.386470841725046,10
annual_presence,Park dominant,-0.296422151608098,10
first_crossing_full,Neither actor dominant,0.751938923849059,11
first_crossing_full,Militia dominant,0.264773999023242,11
first_crossing_full,Park dominant,-0.0619962476139048,11
first_crossing_restricted,Neither actor dominant,0.704276072994643,11
first_crossing_restricted,Militia dominant,0.214095653115527,11
first_crossing_restricted,Park dominant,0.0072605535111,11
persistence_corrected,Neither actor dominant,0.800847747505888,11
persistence_corrected,Militia dominant,0.0612358291939069,11
persistence_corrected,Park dominant,0.112620153431277,11
annual_presence,Neither actor dominant,-0.305517554863686,11
annual_presence,Militia dominant,-0.183528046355581,11
annual_presence,Park dominant,0.09176588097953,11
first_crossing_full,Neither actor dominant,0.646881316606642,12
first_crossing_full,Militia dominant,0.154095032350953,12
first_crossing_full,Park dominant,-0.306717327487249,12
first_crossing_restricted,Neither actor dominant,0.573988246536151,12
first_crossing_restricted,Militia dominant,0.0779197889703249,12
first_crossing_restricted,Park dominant,-0.172910112879852,12
persistence_corrected,Neither actor dominant,0.56001413955165,12
persistence_corrected,Militia dominant,0.0391979802774661,12
persistence_corrected,Park dominant,-0.089525484588906,12
annual_presence,Neither actor dominant,-0.248209813859946,12
annual_presence,Militia dominant,-0.167995031651393,12
annual_presence,Park dominant,-0.0997134523635627,12
first_crossing_full,Neither actor dominant,0.016751108620533,13
