analysis,governance_profile,replicates,bootstrap_se,conf_low,conf_high
first_crossing_full,Neither actor dominant,499,0.261820399573908,-0.246433333569843,0.7703628136016
first_crossing_full,Militia dominant,499,0.256208308307819,-0.265400157815145,0.671092863773138
first_crossing_full,Park dominant,499,0.218371163051412,-0.807437757898479,0.101896446104839
first_crossing_restricted,Neither actor dominant,499,0.251599082251558,-0.287723336989504,0.688714686221041
first_crossing_restricted,Militia dominant,499,0.246466332338784,-0.295356944721991,0.588358140868735
first_crossing_restricted,Park dominant,499,0.251407185572048,-0.725864827060933,0.26547891877558
persistence_corrected,Neither actor dominant,499,0.254467729962446,-0.240535875491421,0.755854476050464
persistence_corrected,Militia dominant,499,0.262383187491787,-0.349514072140079,0.593180946201369
persistence_corrected,Park dominant,499,0.242816287884733,-0.683316186880708,0.235907154645424
annual_presence,Neither actor dominant,499,0.684277369657884,-2.31106687756719,-0.0983275287498242
annual_presence,Militia dominant,499,0.669746472247748,-2.07390425279389,0.0613905208271788
annual_presence,Park dominant,499,0.667357273752953,-1.89984569572552,0.232979566734895
