rule_id,corridor_domain,status,numerator,denominator,proportion,reason
year_plus1_at_or_above_25pct,5km,estimated,325,369,0.880758807588076,""
two_consecutive_postevent_years_at_or_above_25pct,5km,estimated,313,350,0.894285714285714,""
two_of_three_including_plus1_or_plus2_tau010,5km,estimated,336,336,1,""
two_of_three_including_plus1_or_plus2_tau025,5km,estimated,308,336,0.916666666666667,""
two_of_three_including_plus1_or_plus2_tau050,5km,estimated,17,336,0.0505952380952381,""
year_plus1_at_or_above_25pct,10km,estimated,436,491,0.887983706720978,""
two_consecutive_postevent_years_at_or_above_25pct,10km,estimated,417,463,0.900647948164147,""
two_of_three_including_plus1_or_plus2_tau010,10km,estimated,441,442,0.997737556561086,""
two_of_three_including_plus1_or_plus2_tau025,10km,estimated,407,442,0.920814479638009,""
two_of_three_including_plus1_or_plus2_tau050,10km,estimated,18,442,0.0407239819004525,""
year_plus1_at_or_above_25pct,20km,estimated,489,554,0.882671480144404,""
two_consecutive_postevent_years_at_or_above_25pct,20km,estimated,462,514,0.898832684824903,""
two_of_three_including_plus1_or_plus2_tau010,20km,estimated,490,491,0.9979633401222,""
two_of_three_including_plus1_or_plus2_tau025,20km,estimated,453,491,0.922606924643584,""
two_of_three_including_plus1_or_plus2_tau050,20km,estimated,18,491,0.0366598778004073,""
year_plus1_at_or_above_25pct,full,estimated,2128,2535,0.839447731755424,""
two_consecutive_postevent_years_at_or_above_25pct,full,estimated,1968,2329,0.844997853155861,""
two_of_three_including_plus1_or_plus2_tau010,full,estimated,2170,2193,0.989512083903329,""
two_of_three_including_plus1_or_plus2_tau025,full,estimated,1901,2193,0.866849065207478,""
two_of_three_including_plus1_or_plus2_tau050,full,estimated,66,2193,0.0300957592339261,""
threshold_consistent_persistence_tau010,5km,estimated,443,488,0.907786885245902,""
threshold_consistent_persistence_tau010,10km,estimated,633,716,0.884078212290503,""
threshold_consistent_persistence_tau010,20km,estimated,765,914,0.836980306345733,""
threshold_consistent_persistence_tau010,full,estimated,3723,4870,0.764476386036961,""
threshold_consistent_persistence_tau025,5km,estimated,308,336,0.916666666666667,""
threshold_consistent_persistence_tau025,10km,estimated,407,442,0.920814479638009,""
threshold_consistent_persistence_tau025,20km,estimated,453,491,0.922606924643584,""
threshold_consistent_persistence_tau025,full,estimated,1901,2193,0.866849065207478,""
threshold_consistent_persistence_tau050,5km,estimated,146,168,0.869047619047619,""
threshold_consistent_persistence_tau050,10km,estimated,185,210,0.880952380952381,""
threshold_consistent_persistence_tau050,20km,estimated,191,217,0.880184331797235,""
threshold_consistent_persistence_tau050,full,estimated,965,1084,0.890221402214022,""
