park_side,governance_profile_at_event,landscape_group,event_year,corridor_domain,event_cells,persistent,transient_reversed,intermittent,right_censored,missing_uncertain,classifiable_fraction,persistent_fraction_among_classifiable
inside,Neither actor dominant,Depression,2001,5km,4,4,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2001,5km,3,2,1,0,0,0,1,0.666666666666667
outside,Neither actor dominant,Depression,2002,5km,11,10,0,1,0,0,1,0.909090909090909
inside,Neither actor dominant,Depression,2002,5km,6,6,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2003,5km,4,4,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2003,5km,4,4,0,0,0,0,1,1
outside,Militia dominant,Depression,2004,5km,14,11,1,2,0,0,1,0.785714285714286
inside,Militia dominant,Depression,2004,5km,19,12,5,2,0,0,1,0.631578947368421
outside,Militia dominant,Depression,2005,5km,4,3,1,0,0,0,1,0.75
inside,Militia dominant,Depression,2005,5km,3,2,0,1,0,0,1,0.666666666666667
outside,Militia dominant,Depression,2006,5km,4,4,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2007,5km,4,4,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2007,5km,2,2,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2008,5km,5,5,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2008,5km,1,1,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2009,5km,10,10,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2009,5km,5,5,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2010,5km,15,15,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2010,5km,7,7,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2011,5km,8,8,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2011,5km,1,1,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2012,5km,10,9,0,1,0,0,1,0.9
outside,Neither actor dominant,Depression,2012,5km,3,3,0,0,0,0,1,1
outside,Militia dominant,Depression,2013,5km,17,15,2,0,0,0,1,0.882352941176471
inside,Militia dominant,Depression,2013,5km,23,23,0,0,0,0,1,1
outside,Militia dominant,Depression,2014,5km,8,8,0,0,0,0,1,1
inside,Militia dominant,Depression,2014,5km,23,22,1,0,0,0,1,0.956521739130435
inside,Militia dominant,Depression,2015,5km,12,12,0,0,0,0,1,1
outside,Militia dominant,Depression,2015,5km,6,6,0,0,0,0,1,1
outside,Militia dominant,Depression,2016,5km,4,4,0,0,0,0,1,1
inside,Militia dominant,Depression,2016,5km,21,20,1,0,0,0,1,0.952380952380952
inside,Park dominant,Depression,2017,5km,17,15,2,0,0,0,1,0.882352941176471
outside,Park dominant,Depression,2017,5km,21,19,1,1,0,0,1,0.904761904761905
outside,Park dominant,Depression,2018,5km,9,6,2,1,0,0,1,0.666666666666667
inside,Park dominant,Depression,2018,5km,18,17,0,1,0,0,1,0.944444444444444
outside,Park dominant,Depression,2019,5km,5,5,0,0,0,0,1,1
inside,Park dominant,Depression,2019,5km,5,4,1,0,0,0,1,0.8
outside,Park dominant,Depression,2020,5km,8,5,0,3,0,0,1,0.625
inside,Park dominant,Depression,2020,5km,6,5,0,1,0,0,1,0.833333333333333
outside,Park dominant,Depression,2021,5km,12,0,0,0,12,0,0,
inside,Park dominant,Depression,2021,5km,7,0,0,0,7,0,0,
outside,Park dominant,Depression,2022,5km,13,0,0,0,13,0,0,
inside,Park dominant,Depression,2022,5km,10,0,0,0,10,0,0,
inside,Neither actor dominant,Depression,2001,10km,4,4,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2001,10km,4,3,1,0,0,0,1,0.75
outside,Neither actor dominant,Depression,2002,10km,13,12,0,1,0,0,1,0.923076923076923
inside,Neither actor dominant,Depression,2002,10km,6,6,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2003,10km,4,4,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2003,10km,4,4,0,0,0,0,1,1
outside,Militia dominant,Depression,2004,10km,21,18,1,2,0,0,1,0.857142857142857
inside,Militia dominant,Depression,2004,10km,20,13,5,2,0,0,1,0.65
outside,Militia dominant,Depression,2005,10km,5,4,1,0,0,0,1,0.8
inside,Militia dominant,Depression,2005,10km,3,2,0,1,0,0,1,0.666666666666667
outside,Militia dominant,Depression,2006,10km,12,12,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2007,10km,7,7,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2007,10km,2,2,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2008,10km,5,5,0,0,0,0,1,1
