episode_id,outcome,events,cell_years,group_years,zero_event,nearly_unsupported
SESU1_2001_2003,fire,19488,52893,3,FALSE,FALSE
SESU1_2001_2003,tree_cover_loss,44,52857,3,FALSE,FALSE
SESU1_2001_2003,agriculture,35,52858,3,FALSE,FALSE
SESU1_2004_2006,fire,27989,52893,3,FALSE,FALSE
SESU1_2004_2006,tree_cover_loss,24,52734,3,FALSE,FALSE
SESU1_2004_2006,agriculture,61,52698,3,FALSE,FALSE
SESU1_2007_2012,fire,49133,105786,6,FALSE,FALSE
SESU1_2007_2012,tree_cover_loss,249,105106,6,FALSE,FALSE
SESU1_2007_2012,agriculture,87,105012,6,FALSE,FALSE
SESU1_2013_2016,fire,28885,70524,4,FALSE,FALSE
SESU1_2013_2016,tree_cover_loss,31,69222,4,FALSE,FALSE
SESU1_2013_2016,agriculture,147,69537,4,FALSE,FALSE
SESU1_2017_2022,fire,39646,105786,6,FALSE,FALSE
SESU1_2017_2022,tree_cover_loss,56,103558,6,FALSE,FALSE
SESU1_2017_2022,agriculture,185,103267,6,FALSE,FALSE
SESU3_2001_2003,fire,41932,74769,3,FALSE,FALSE
SESU3_2001_2003,tree_cover_loss,2,74769,3,FALSE,TRUE
SESU3_2001_2003,agriculture,0,74769,3,TRUE,TRUE
SESU3_2004_2006,fire,51938,74769,3,FALSE,FALSE
SESU3_2004_2006,tree_cover_loss,7,74763,3,FALSE,FALSE
SESU3_2004_2006,agriculture,0,74769,3,TRUE,TRUE
SESU3_2007_2010,fire,64386,99692,4,FALSE,FALSE
SESU3_2007_2010,tree_cover_loss,26,99615,4,FALSE,FALSE
SESU3_2007_2010,agriculture,0,99692,4,TRUE,TRUE
SESU3_2011_2012,fire,31871,49846,2,FALSE,FALSE
SESU3_2011_2012,tree_cover_loss,12,49775,2,FALSE,FALSE
SESU3_2011_2012,agriculture,1,49845,2,FALSE,TRUE
SESU3_2013_2015,fire,47672,74769,3,FALSE,FALSE
SESU3_2013_2015,tree_cover_loss,4,74623,3,FALSE,TRUE
SESU3_2013_2015,agriculture,0,74766,3,TRUE,TRUE
SESU3_2016_2022,fire,105380,174461,7,FALSE,FALSE
SESU3_2016_2022,tree_cover_loss,64,173947,7,FALSE,FALSE
SESU3_2016_2022,agriculture,2,174444,7,FALSE,TRUE
