SESU_ID,side,eligible_cells,events,cell_years,group_years,boundary_center_km,outcome,design_membership,median_abs_smd,max_abs_smd,maximum_overlap_with_another_center
1,inside,7612,75745,167464,22,0,fire,legal,0.176817645414245,0.733442261257781,0.627751721007641
1,outside,10019,89396,220418,22,0,fire,legal,0.176817645414245,0.733442261257781,0.627751721007641
3,inside,12936,177455,284592,22,0,fire,legal,0.176817645414245,0.733442261257781,0.627751721007641
3,outside,11987,165724,263714,22,0,fire,legal,0.176817645414245,0.733442261257781,0.627751721007641
1,inside,7612,142,165760,22,0,tree_cover_loss,legal,0.176817645414245,0.733442261257781,0.627751721007641
1,outside,10019,262,217717,22,0,tree_cover_loss,legal,0.176817645414245,0.733442261257781,0.627751721007641
3,inside,12936,4,284545,22,0,tree_cover_loss,legal,0.176817645414245,0.733442261257781,0.627751721007641
3,outside,11987,111,262947,22,0,tree_cover_loss,legal,0.176817645414245,0.733442261257781,0.627751721007641
1,inside,7612,254,165205,22,0,agriculture,legal,0.176817645414245,0.733442261257781,0.627751721007641
1,outside,10019,261,218167,22,0,agriculture,legal,0.176817645414245,0.733442261257781,0.627751721007641
3,inside,12936,0,284592,22,0,agriculture,legal,0.176817645414245,0.733442261257781,0.627751721007641
3,outside,11987,3,263693,22,0,agriculture,legal,0.176817645414245,0.733442261257781,0.627751721007641
1,inside,9460,79973,208120,22,5,fire,"",0.210342242978334,0.622690790841697,0.627751721007641
1,outside,10058,104907,221276,22,5,fire,"",0.210342242978334,0.622690790841697,0.627751721007641
3,inside,12911,172412,284042,22,5,fire,"",0.210342242978334,0.622690790841697,0.627751721007641
3,outside,11086,155892,243892,22,5,fire,"",0.210342242978334,0.622690790841697,0.627751721007641
1,inside,9460,270,205117,22,5,tree_cover_loss,"",0.210342242978334,0.622690790841697,0.627751721007641
1,outside,10058,246,218668,22,5,tree_cover_loss,"",0.210342242978334,0.622690790841697,0.627751721007641
3,inside,12911,37,283847,22,5,tree_cover_loss,"",0.210342242978334,0.622690790841697,0.627751721007641
3,outside,11086,123,243015,22,5,tree_cover_loss,"",0.210342242978334,0.622690790841697,0.627751721007641
1,inside,9460,388,204621,22,5,agriculture,"",0.210342242978334,0.622690790841697,0.627751721007641
1,outside,10058,143,220218,22,5,agriculture,"",0.210342242978334,0.622690790841697,0.627751721007641
3,inside,12911,0,284042,22,5,agriculture,"",0.210342242978334,0.622690790841697,0.627751721007641
3,outside,11086,5,243836,22,5,agriculture,"",0.210342242978334,0.622690790841697,0.627751721007641
1,inside,9953,88765,218966,22,10,fire,round_number,0.183294871421308,0.538723099272024,0.607566389144694
1,outside,11086,123455,243892,22,10,fire,round_number,0.183294871421308,0.538723099272024,0.607566389144694
3,inside,11924,164876,262328,22,10,fire,round_number,0.183294871421308,0.538723099272024,0.607566389144694
3,outside,9059,124580,199298,22,10,fire,round_number,0.183294871421308,0.538723099272024,0.607566389144694
1,inside,9953,260,216275,22,10,tree_cover_loss,round_number,0.183294871421308,0.538723099272024,0.607566389144694
1,outside,11086,242,241706,22,10,tree_cover_loss,round_number,0.183294871421308,0.538723099272024,0.607566389144694
3,inside,11924,109,261576,22,10,tree_cover_loss,round_number,0.183294871421308,0.538723099272024,0.607566389144694
3,outside,9059,118,198670,22,10,tree_cover_loss,round_number,0.183294871421308,0.538723099272024,0.607566389144694
1,inside,9953,261,216715,22,10,agriculture,round_number,0.183294871421308,0.538723099272024,0.607566389144694
1,outside,11086,61,243516,22,10,agriculture,round_number,0.183294871421308,0.538723099272024,0.607566389144694
3,inside,11924,3,262307,22,10,agriculture,round_number,0.183294871421308,0.538723099272024,0.607566389144694
3,outside,9059,7,199224,22,10,agriculture,round_number,0.183294871421308,0.538723099272024,0.607566389144694
1,inside,10003,104248,220066,22,15,fire,dense;non_adjacent,0.181876533614237,0.403016772624804,0.599249917413187
1,outside,12330,130817,271260,22,15,fire,dense;non_adjacent,0.181876533614237,0.403016772624804,0.599249917413187
3,inside,11056,155578,243232,22,15,fire,dense;non_adjacent,0.181876533614237,0.403016772624804,0.599249917413187
3,outside,6888,85844,151536,22,15,fire,dense;non_adjacent,0.181876533614237,0.403016772624804,0.599249917413187
1,inside,10003,246,217458,22,15,tree_cover_loss,dense;non_adjacent,0.181876533614237,0.403016772624804,0.599249917413187
1,outside,12330,213,269533,22,15,tree_cover_loss,dense;non_adjacent,0.181876533614237,0.403016772624804,0.599249917413187
3,inside,11056,123,242355,22,15,tree_cover_loss,dense;non_adjacent,0.181876533614237,0.403016772624804,0.599249917413187
3,outside,6888,161,150728,22,15,tree_cover_loss,dense;non_adjacent,0.181876533614237,0.403016772624804,0.599249917413187
1,inside,10003,142,219021,22,15,agriculture,dense;non_adjacent,0.181876533614237,0.403016772624804,0.599249917413187
1,outside,12330,28,271060,22,15,agriculture,dense;non_adjacent,0.181876533614237,0.403016772624804,0.599249917413187
3,inside,11056,5,243176,22,15,agriculture,dense;non_adjacent,0.181876533614237,0.403016772624804,0.599249917413187
3,outside,6888,7,151476,22,15,agriculture,dense;non_adjacent,0.181876533614237,0.403016772624804,0.599249917413187
1,inside,11048,123096,243056,22,20,fire,dense;round_number;historical,0.188906731931773,0.264281313524688,0.598333468166006
1,outside,12753,115364,280566,22,20,fire,dense;round_number;historical,0.188906731931773,0.264281313524688,0.598333468166006
3,inside,9042,124344,198924,22,20,fire,dense;round_number;historical,0.188906731931773,0.264281313524688,0.598333468166006
3,outside,5908,64158,129976,22,20,fire,dense;round_number;historical,0.188906731931773,0.264281313524688,0.598333468166006
1,inside,11048,239,240890,22,20,tree_cover_loss,dense;round_number;historical,0.188906731931773,0.264281313524688,0.598333468166006
1,outside,12753,323,277825,22,20,tree_cover_loss,dense;round_number;historical,0.188906731931773,0.264281313524688,0.598333468166006
3,inside,9042,117,198298,22,20,tree_cover_loss,dense;round_number;historical,0.188906731931773,0.264281313524688,0.598333468166006
3,outside,5908,134,129244,22,20,tree_cover_loss,dense;round_number;historical,0.188906731931773,0.264281313524688,0.598333468166006
1,inside,11048,61,242680,22,20,agriculture,dense;round_number;historical,0.188906731931773,0.264281313524688,0.598333468166006
1,outside,12753,85,280071,22,20,agriculture,dense;round_number;historical,0.188906731931773,0.264281313524688,0.598333468166006
3,inside,9042,7,198850,22,20,agriculture,dense;round_number;historical,0.188906731931773,0.264281313524688,0.598333468166006
3,outside,5908,3,129942,22,20,agriculture,dense;round_number;historical,0.188906731931773,0.264281313524688,0.598333468166006
1,inside,12283,130394,270226,22,25,fire,dense;non_adjacent,0.138590232161382,0.223377627773481,0.596075519728468
1,outside,12864,109532,283008,22,25,fire,dense;non_adjacent,0.138590232161382,0.223377627773481,0.596075519728468
3,inside,6866,85619,151052,22,25,fire,dense;non_adjacent,0.138590232161382,0.223377627773481,0.596075519728468
3,outside,5810,55198,127820,22,25,fire,dense;non_adjacent,0.138590232161382,0.223377627773481,0.596075519728468
1,inside,12283,213,268499,22,25,tree_cover_loss,dense;non_adjacent,0.138590232161382,0.223377627773481,0.596075519728468
