center_a_km,center_b_km,shared_cells,jaccard_overlap
0,5,33193,0.627751721007641
0,10,22006,0.351702093655106
0,15,10822,0.150286769709342
0,20,129,0.00158913964718636
0,25,0,0
0,30,0,0
0,35,0,0
0,40,0,0
0,45,0,0
0,50,0,0
0,55,0,0
0,60,0,0
5,10,32328,0.607566389144694
5,15,21144,0.337504788660452
5,20,10451,0.145526700550024
5,25,85,0.00104611522036109
5,30,0,0
5,35,0,0
5,40,0,0
5,45,0,0
5,50,0,0
5,55,0,0
5,60,0,0
10,15,30838,0.599249917413187
10,20,20145,0.332272217457281
10,25,9779,0.139568406930608
10,30,55,0.000692843555925072
10,35,0,0
10,40,0,0
10,45,0,0
10,50,0,0
10,55,0,0
10,60,0,0
15,20,29584,0.598333468166006
15,25,19218,0.326381576712748
15,30,9494,0.139210252349741
15,35,69,0.000886114963784867
15,40,0,0
15,45,0,0
15,50,0,0
15,55,0,0
15,60,0,0
20,25,28385,0.589034841976385
20,30,18661,0.324505269015407
20,35,9236,0.137491626349088
20,40,45,0.000581215127092374
20,45,0,0
20,50,0,0
20,55,0,0
20,60,0,0
25,30,28099,0.596075519728468
25,35,18674,0.328715520428101
25,40,9483,0.141414894568881
25,45,40,0.000520386126505867
25,50,0,0
25,55,0,0
25,60,0,0
30,35,27991,0.594478071572688
30,40,18800,0.327903163916699
30,45,9357,0.139361353549194
30,50,36,0.000468804938078681
30,55,0,0
30,60,0,0
35,40,28469,0.594230729090568
35,45,19026,0.329642912833307
35,50,9705,0.144063771041772
35,55,33,0.000431801528315712
35,60,0,0
40,45,29275,0.603284836994601
40,50,19954,0.34299957026214
40,55,10282,0.152930852408787
40,60,41,0.000542996013614632
45,50,29762,0.610728063695313
45,55,20090,0.347637999653919
45,60,9849,0.149082707677404
50,55,29739,0.613567434855268
50,60,19498,0.343619477292353
55,60,28556,0.606658027235453
