run_id,outcome,model,fit_status,warning_messages,convergence_code,pdHess,maximum_absolute_gradient,model_matrix_rank,model_matrix_columns,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id,n_observations,rank,zero_corrected
primary__fire,fire,beta_binomial_logit,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.000954072389845351,47,47,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,primary,,,
primary__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,primary,44,4,23
primary__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,primary,44,4,23
threshold_tau010__fire,fire,beta_binomial_logit,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.000844377757346138,47,47,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau010,,,
threshold_tau010__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau010,44,4,4
threshold_tau010__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau010,44,4,22
threshold_tau050__fire,fire,beta_binomial_logit,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.000828918169020199,47,47,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau050,,,
threshold_tau050__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau050,44,4,39
threshold_tau050__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau050,44,4,25
domain_5km__fire,fire,beta_binomial_logit,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.00076352157958226,47,47,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_5km,,,
domain_5km__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_5km,44,4,28
domain_5km__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_5km,44,4,23
domain_20km__fire,fire,beta_binomial_logit,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.0034530669775179,47,47,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_20km,,,
domain_20km__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_20km,44,4,23
