run_id,outcome,governance_profile,estimate,standard_error,conf_low,conf_high,odds_ratio,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id
primary__fire,fire,Neither actor dominant,0.170288429758373,0.0297450591051261,0.111989185194311,0.228587674322435,1.18564677782075,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,primary
primary__fire,fire,Militia dominant,0.0107091233715076,0.0330098626703633,-0.0539890185970177,0.0754072653400329,1.01076667127895,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,primary
primary__fire,fire,Park dominant,0.0678282180423288,0.0305524668753538,0.00794648332778246,0.127709952756875,1.07018145482248,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,primary
primary__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.846081473790374,0.227997755104005,-1.29294886235021,-0.399214085230542,0.429093054297882,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,primary
primary__tree_cover_loss,tree_cover_loss,Militia dominant,-0.897845233263081,0.311625133975982,-1.50861927253348,-0.287071193992687,0.407446667053411,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,primary
primary__tree_cover_loss,tree_cover_loss,Park dominant,-1.43025410197535,0.260646937876377,-1.9411127128937,-0.919395491057002,0.239248121099066,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,primary
primary__agriculture,agriculture,Neither actor dominant,0.286485847450869,0.229996977828128,-0.16429994564532,0.737271640547059,1.33173932025468,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,primary
primary__agriculture,agriculture,Militia dominant,0.221756230967078,0.137786166542745,-0.048299693024539,0.491812154958695,1.24826705192109,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,primary
primary__agriculture,agriculture,Park dominant,-0.346961114977916,0.158116616597485,-0.656863988866315,-0.0370582410895171,0.706832812932916,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,primary
threshold_tau010__fire,fire,Neither actor dominant,0.155682820053635,0.0311381714534825,0.0946531254603759,0.216712514646894,1.16845553364503,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau010
threshold_tau010__fire,fire,Militia dominant,-0.0108903922289631,0.0347753804741489,-0.0790488855069724,0.0572681010490461,0.989168693409381,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau010
threshold_tau010__fire,fire,Park dominant,0.0435302539969729,0.0319510082593201,-0.0190925714610363,0.106153079454982,1.04449159387954,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau010
threshold_tau010__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.882619985667311,0.163859011572318,-1.20377774689139,-0.561462224443235,0.413697608757805,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau010
threshold_tau010__tree_cover_loss,tree_cover_loss,Militia dominant,-1.16978085292463,0.277507959349604,-1.71368645867306,-0.625875247176199,0.310434964726255,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau010
threshold_tau010__tree_cover_loss,tree_cover_loss,Park dominant,-1.44277318681612,0.227654929699504,-1.88896864993014,-0.996577723702091,0.23627162395796,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,threshold_tau010
