robustness_run_id,outcome,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,eligible_cells,cell_years,events,group_years,historical_episodes,fit_validity_status,warning_messages
domain_20km,agriculture,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,75152,1648349,587,44,11,valid,""
domain_20km,fire,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,75152,1653344,939524,44,11,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
domain_20km,tree_cover_loss,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,75152,1645326,876,44,11,valid,""
domain_5km,agriculture,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,22605,493773,392,44,11,valid,""
domain_5km,fire,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,22605,497310,255039,44,11,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
domain_5km,tree_cover_loss,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,22605,494051,313,44,11,valid,""
domain_full,agriculture,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,204411,4475418,2685,44,11,valid,""
domain_full,fire,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,204411,4497042,2496222,44,11,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
domain_full,tree_cover_loss,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,204411,4448348,5460,44,11,valid,""
lag_1,agriculture,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42546,889103,510,42,11,valid,""
lag_1,fire,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,893634,494511,42,11,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
lag_1,tree_cover_loss,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42553,888415,518,42,11,valid,""
lag_2,agriculture,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42527,846557,491,40,11,valid,""
lag_2,fire,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,851080,472870,40,11,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
lag_2,tree_cover_loss,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42519,845862,484,40,11,valid,""
omit_SESU1_2001_2003,agriculture,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2001_2003,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42519,878799,483,41,10,valid,""
omit_SESU1_2001_2003,fire,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2001_2003,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,883295,488832,41,10,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
omit_SESU1_2001_2003,tree_cover_loss,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2001_2003,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42508,878112,475,41,10,valid,""
omit_SESU1_2004_2006,agriculture,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2004_2006,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,878959,457,41,10,valid,""
omit_SESU1_2004_2006,fire,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2004_2006,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,883295,480331,41,10,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
omit_SESU1_2004_2006,tree_cover_loss,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2004_2006,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,42554,878235,495,41,10,valid,""
