run_id,outcome,eligible_cells,cell_years,events,group_years,historical_episodes,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id
primary__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,primary
primary__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,primary
primary__agriculture,agriculture,42554,931657,518,44,11,directly_matched,tau025,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,primary
threshold_tau010__fire,fire,42554,936188,554256,44,11,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,threshold_tau010
threshold_tau010__tree_cover_loss,tree_cover_loss,42554,915624,2073,44,11,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,threshold_tau010
threshold_tau010__agriculture,agriculture,42554,929491,882,44,11,directly_matched,tau010,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,threshold_tau010
threshold_tau050__fire,fire,42554,936188,445507,44,11,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,threshold_tau050
threshold_tau050__tree_cover_loss,tree_cover_loss,42554,935337,79,44,11,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,threshold_tau050
threshold_tau050__agriculture,agriculture,42554,933813,227,44,11,directly_matched,tau050,10,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,threshold_tau050
domain_5km__fire,fire,22605,497310,255039,44,11,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_5km
domain_5km__tree_cover_loss,tree_cover_loss,22605,494051,313,44,11,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_5km
domain_5km__agriculture,agriculture,22605,493773,392,44,11,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_5km
domain_20km__fire,fire,75152,1653344,939524,44,11,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_20km
domain_20km__tree_cover_loss,tree_cover_loss,75152,1645326,876,44,11,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_20km
domain_20km__agriculture,agriculture,75152,1648349,587,44,11,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_20km
domain_full__fire,fire,204411,4497042,2496222,44,11,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_full
domain_full__tree_cover_loss,tree_cover_loss,204411,4448348,5460,44,11,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_full
domain_full__agriculture,agriculture,204411,4475418,2685,44,11,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_full
weight_unweighted__fire,fire,42554,936188,508320,44,11,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,weight_unweighted
weight_unweighted__tree_cover_loss,tree_cover_loss,42554,930969,519,44,11,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,weight_unweighted
