SESU_ID,landscape_label,year,outcome,outcome_label,side,side_label,n,y,proportion,governance_profile,profile_label,source_file
1,Depression,2001,fire,Fire,exterior_facing,Outside,10019,1682,16.7881026050504,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2001,fire,Fire,interior_facing,Inside,7612,1818,23.8833420914346,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2002,fire,Fire,exterior_facing,Outside,10019,3811,38.0377283161992,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2002,fire,Fire,interior_facing,Inside,7612,3246,42.6431949553337,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2003,fire,Fire,exterior_facing,Outside,10019,4569,45.6033536281066,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2003,fire,Fire,interior_facing,Inside,7612,4362,57.3042564372044,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2004,fire,Fire,exterior_facing,Outside,10019,4963,49.5358818245334,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2004,fire,Fire,interior_facing,Inside,7612,4142,54.4140830267998,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2005,fire,Fire,exterior_facing,Outside,10019,5494,54.8358119572812,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2005,fire,Fire,interior_facing,Inside,7612,4380,57.540725170783,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2006,fire,Fire,exterior_facing,Outside,10019,5040,50.304421598962,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2006,fire,Fire,interior_facing,Inside,7612,3970,52.154492905938,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2007,fire,Fire,exterior_facing,Outside,10019,3738,37.3091126858968,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2007,fire,Fire,interior_facing,Inside,7612,3603,47.3331581713085,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2008,fire,Fire,exterior_facing,Outside,10019,4667,46.5814951591975,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2008,fire,Fire,interior_facing,Inside,7612,4077,53.5601681555439,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2009,fire,Fire,exterior_facing,Outside,10019,5205,51.9512925441661,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2009,fire,Fire,interior_facing,Inside,7612,4033,52.982133473463,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2010,fire,Fire,exterior_facing,Outside,10019,4531,45.2240742589081,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
