SESU_ID,landscape_label,year,governance_profile,profile_label,source_file
1,Depression,2001,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2002,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2003,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2004,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2005,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2006,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2007,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2008,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2009,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2010,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2011,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2012,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2013,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2014,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2015,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2016,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2017,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2018,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2019,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2020,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2021,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2022,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2001,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2002,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2003,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2004,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2005,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2006,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2007,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2008,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2009,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2010,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2011,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2012,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2013,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2014,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2015,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2016,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2017,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2018,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2019,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2020,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2021,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2022,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
