analysis_type,outcome,threshold,spatial_domain,boundary_id,boundary_center_km,boundary_family,analysis_set,profile,estimate,standard_error,lower_interval,upper_interval,fit_validity,source_file,outcome_label,profile_label,actual_boundary,primary_spaced_outer,accepted
revised spatial pseudo-boundary falsification,fire,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Neither actor dominant,0.248512602181479,0.07240927621008,0.106593028663109,0.390432175699849,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Militia dominant,0.0832923175383137,0.0791087127255499,-0.0717579102670896,0.238342545343717,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Park dominant,0.0601942456792275,0.0730264287727159,-0.0829349246348753,0.20332341599333,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Neither actor dominant,0.315731946846911,0.0566758253701475,0.204649370327341,0.426814523366482,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Militia dominant,0.232153265165478,0.0625567722734409,0.10954424452046,0.354762285810496,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Park dominant,0.270816656882749,0.0575796670997285,0.157962583125475,0.383670730640023,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Neither actor dominant,0.170288429758373,0.0297450591051261,0.111989185194311,0.228587674322435,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Fragmented control,TRUE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Militia dominant,0.0107091233715076,0.0330098626703633,-0.0539890185970177,0.0754072653400329,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Militia-centred control,TRUE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Park dominant,0.0678282180423288,0.0305524668753538,0.00794648332778246,0.127709952756875,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Park-centred control,TRUE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Neither actor dominant,0.114393230464173,0.0415691826621848,0.0329191295795239,0.195867331348822,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Militia dominant,0.223644487474911,0.0462528571410318,0.132990553296413,0.31429842165341,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Park dominant,0.0802187672895008,0.0427098088823794,-0.00349091990655176,0.163928454485553,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+020,20,outer_pseudo,primary_spaced_outer;all_valid_outer,Neither actor dominant,0.422192783824508,0.0285640905242008,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Fragmented control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+020,20,outer_pseudo,primary_spaced_outer;all_valid_outer,Militia dominant,0.513085650744062,0.0315232173009776,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Militia-centred control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+020,20,outer_pseudo,primary_spaced_outer;all_valid_outer,Park dominant,0.478167602136646,0.0293394868331942,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Park-centred control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+025,25,outer_pseudo,all_valid_outer,Neither actor dominant,0.418500331035162,0.0245790577168361,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+025,25,outer_pseudo,all_valid_outer,Militia dominant,0.442391401873017,0.0268665224533361,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+025,25,outer_pseudo,all_valid_outer,Park dominant,0.555103018586715,0.0253495109250934,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Park-centred control,FALSE,FALSE,TRUE
