specification,k,silhouette
full covariate,2,0.251440254786702
full covariate,3,0.270407389443984
full covariate,4,0.228383923313871
full covariate,5,0.233849469296027
full covariate,6,0.24060849040407
full covariate,7,0.260680561000788
full covariate,8,0.251238932123871
full covariate,9,0.237662765692864
full covariate,10,0.223296220146729
full covariate,11,0.240806683222841
full covariate,12,0.231572878719996
full covariate,13,0.229288757277202
full covariate,14,0.218504759956145
full covariate,15,0.217877267079711
without accessibility,2,0.265275660389187
without accessibility,3,0.281244940840895
without accessibility,4,0.239804864913651
without accessibility,5,0.263962364754442
without accessibility,6,0.272010352564951
without accessibility,7,0.280720241540755
without accessibility,8,0.272239709681535
without accessibility,9,0.260682748745123
without accessibility,10,0.250796771786916
without accessibility,11,0.262726558308082
without accessibility,12,0.254708370211653
without accessibility,13,0.246461839397945
without accessibility,14,0.231423993849973
without accessibility,15,0.232945416222409
