outcome,governance_profile,threshold_tag,spatial_design,estimate,lower_95_ci,upper_95_ci,method,reference_estimate,absolute_deviation_from_reference,ci_crosses_zero,Outcome,Profile,Domain,Threshold,Scenario,Estimand type,Profile or comparison,primary_row,fit_display
agriculture,Militia-centred control,tau010,all_cells,-0.685648128082202,-1.22153933492564,-0.149756921238764,sparse_two_stage_weighted,0.163892757837478,0.84954088591968,FALSE,Agricultural expansion,Militia-centred control,All cells,10%,10% All cells,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
agriculture,Militia-centred control,tau010,buffer_05km,0.237349470719888,-0.0647567167803509,0.539455658220128,sparse_two_stage_weighted,0.163892757837478,0.0734567128824101,TRUE,Agricultural expansion,Militia-centred control,5 km,10%,10% 5 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
agriculture,Militia-centred control,tau010,buffer_10km,-0.318243792657785,-0.59527839573431,-0.0412091895812605,sparse_two_stage_weighted,0.163892757837478,0.482136550495264,FALSE,Agricultural expansion,Militia-centred control,10 km,10%,10% 10 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
agriculture,Militia-centred control,tau010,buffer_20km,-0.562052782166938,-0.959772845326884,-0.164332719006993,sparse_two_stage_weighted,0.163892757837478,0.725945540004416,FALSE,Agricultural expansion,Militia-centred control,20 km,10%,10% 20 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
agriculture,Militia-centred control,tau025,all_cells,0.163892757837478,-0.139847364071747,0.467632879746703,sparse_two_stage_weighted,0.163892757837478,0,TRUE,Agricultural expansion,Militia-centred control,All cells,25%,25% All cells,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
agriculture,Militia-centred control,tau025,buffer_05km,0.448932268607617,0.0843480035007602,0.813516533714473,sparse_two_stage_weighted,0.163892757837478,0.285039510770139,FALSE,Agricultural expansion,Militia-centred control,5 km,25%,25% 5 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
agriculture,Militia-centred control,tau025,buffer_10km,0.221756230967078,-0.048299693024539,0.491812154958695,sparse_two_stage_weighted,0.163892757837478,0.0578634731295998,TRUE,Agricultural expansion,Militia-centred control,10 km,25%,25% 10 km,Profile contrast,Militia-centred control,TRUE,accepted or diagnostic fit
agriculture,Militia-centred control,tau025,buffer_20km,0.201193451065005,-0.0883021205418738,0.490689022671884,sparse_two_stage_weighted,0.163892757837478,0.0373006932275269,TRUE,Agricultural expansion,Militia-centred control,20 km,25%,25% 20 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
agriculture,Militia-centred control,tau050,all_cells,0.456065730465682,0.0986945146390154,0.813436946292349,sparse_two_stage_weighted,0.163892757837478,0.292172972628204,FALSE,Agricultural expansion,Militia-centred control,All cells,50%,50% All cells,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
agriculture,Militia-centred control,tau050,buffer_05km,0.0736077153568482,-0.458742720958702,0.605958151672398,sparse_two_stage_weighted,0.163892757837478,0.09028504248063,TRUE,Agricultural expansion,Militia-centred control,5 km,50%,50% 5 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
agriculture,Militia-centred control,tau050,buffer_10km,0.117149976429353,-0.191810043767659,0.426109996626365,sparse_two_stage_weighted,0.163892757837478,0.0467427814081254,TRUE,Agricultural expansion,Militia-centred control,10 km,50%,50% 10 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
agriculture,Militia-centred control,tau050,buffer_20km,0.271320948344463,-0.0495177216441434,0.59215961833307,sparse_two_stage_weighted,0.163892757837478,0.107428190506985,TRUE,Agricultural expansion,Militia-centred control,20 km,50%,50% 20 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
agriculture,Fragmented control,tau010,all_cells,-0.0800172609354394,-0.761872089464219,0.60183756759334,sparse_two_stage_weighted,0.562739843664829,0.642757104600269,TRUE,Agricultural expansion,Fragmented control,All cells,10%,10% All cells,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
agriculture,Fragmented control,tau010,buffer_05km,0.47372048932521,0.0548083282051911,0.892632650445229,sparse_two_stage_weighted,0.562739843664829,0.0890193543396191,FALSE,Agricultural expansion,Fragmented control,5 km,10%,10% 5 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
agriculture,Fragmented control,tau010,buffer_10km,0.112932772855509,-0.335711989796915,0.561577535507934,sparse_two_stage_weighted,0.562739843664829,0.44980707080932,TRUE,Agricultural expansion,Fragmented control,10 km,10%,10% 10 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
agriculture,Fragmented control,tau010,buffer_20km,-0.190589196483538,-0.721702054689474,0.340523661722397,sparse_two_stage_weighted,0.562739843664829,0.753329040148368,TRUE,Agricultural expansion,Fragmented control,20 km,10%,10% 20 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
agriculture,Fragmented control,tau025,all_cells,0.562739843664829,0.0688029298220318,1.05667675750763,sparse_two_stage_weighted,0.562739843664829,0,FALSE,Agricultural expansion,Fragmented control,All cells,25%,25% All cells,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
agriculture,Fragmented control,tau025,buffer_05km,0.316465009565712,-0.11932622343449,0.752256242565914,sparse_two_stage_weighted,0.562739843664829,0.246274834099118,TRUE,Agricultural expansion,Fragmented control,5 km,25%,25% 5 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
agriculture,Fragmented control,tau025,buffer_10km,0.286485847450869,-0.16429994564532,0.737271640547059,sparse_two_stage_weighted,0.562739843664829,0.27625399621396,TRUE,Agricultural expansion,Fragmented control,10 km,25%,25% 10 km,Profile contrast,Fragmented control,TRUE,accepted or diagnostic fit
agriculture,Fragmented control,tau025,buffer_20km,0.225220552709169,-0.222566315577282,0.673007420995621,sparse_two_stage_weighted,0.562739843664829,0.33751929095566,TRUE,Agricultural expansion,Fragmented control,20 km,25%,25% 20 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
agriculture,Fragmented control,tau050,all_cells,0.49918028521904,0.128818684358082,0.869541886079997,sparse_two_stage_weighted,0.562739843664829,0.0635595584457895,FALSE,Agricultural expansion,Fragmented control,All cells,50%,50% All cells,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
agriculture,Fragmented control,tau050,buffer_05km,-0.301591571891277,-0.739066325604223,0.135883181821669,sparse_two_stage_weighted,0.562739843664829,0.864331415556107,TRUE,Agricultural expansion,Fragmented control,5 km,50%,50% 5 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
agriculture,Fragmented control,tau050,buffer_10km,-0.213604557093766,-0.524510985532519,0.0973018713449862,sparse_two_stage_weighted,0.562739843664829,0.776344400758595,TRUE,Agricultural expansion,Fragmented control,10 km,50%,50% 10 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
agriculture,Fragmented control,tau050,buffer_20km,-0.0954023727996832,-0.400571699894019,0.209766954294653,sparse_two_stage_weighted,0.562739843664829,0.658142216464512,TRUE,Agricultural expansion,Fragmented control,20 km,50%,50% 20 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
agriculture,Park-centred control,tau010,all_cells,-1.84279045176897,-2.11985675413793,-1.56572414940002,sparse_two_stage_weighted,-0.573161177144788,1.26962927462419,FALSE,Agricultural expansion,Park-centred control,All cells,10%,10% All cells,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
agriculture,Park-centred control,tau010,buffer_05km,-0.630050848426914,-0.822022590884682,-0.438079105969147,sparse_two_stage_weighted,-0.573161177144788,0.0568896712821269,FALSE,Agricultural expansion,Park-centred control,5 km,10%,10% 5 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
agriculture,Park-centred control,tau010,buffer_10km,-1.12463716205984,-1.32132338297537,-0.927950941144297,sparse_two_stage_weighted,-0.573161177144788,0.551475984915048,FALSE,Agricultural expansion,Park-centred control,10 km,10%,10% 10 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
agriculture,Park-centred control,tau010,buffer_20km,-1.56028440881219,-1.83938584783665,-1.28118296978773,sparse_two_stage_weighted,-0.573161177144788,0.987123231667405,FALSE,Agricultural expansion,Park-centred control,20 km,10%,10% 20 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
agriculture,Park-centred control,tau025,all_cells,-0.573161177144788,-0.89042499355172,-0.255897360737855,sparse_two_stage_weighted,-0.573161177144788,0,FALSE,Agricultural expansion,Park-centred control,All cells,25%,25% All cells,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
agriculture,Park-centred control,tau025,buffer_05km,-0.128234216763598,-0.445241483282673,0.188773049755477,sparse_two_stage_weighted,-0.573161177144788,0.44492696038119,TRUE,Agricultural expansion,Park-centred control,5 km,25%,25% 5 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
agriculture,Park-centred control,tau025,buffer_10km,-0.346961114977916,-0.656863988866315,-0.0370582410895171,sparse_two_stage_weighted,-0.573161177144788,0.226200062166872,FALSE,Agricultural expansion,Park-centred control,10 km,25%,25% 10 km,Profile contrast,Park-centred control,TRUE,accepted or diagnostic fit
agriculture,Park-centred control,tau025,buffer_20km,-0.529291276377136,-0.874277324891246,-0.184305227863025,sparse_two_stage_weighted,-0.573161177144788,0.0438699007676521,FALSE,Agricultural expansion,Park-centred control,20 km,25%,25% 20 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
agriculture,Park-centred control,tau050,all_cells,0.143560440044925,-0.302877342496662,0.589998222586511,sparse_two_stage_weighted,-0.573161177144788,0.716721617189712,TRUE,Agricultural expansion,Park-centred control,All cells,50%,50% All cells,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
agriculture,Park-centred control,tau050,buffer_05km,0.653127379018865,0.202006206813338,1.10424855122439,sparse_two_stage_weighted,-0.573161177144788,1.22628855616365,FALSE,Agricultural expansion,Park-centred control,5 km,50%,50% 5 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
agriculture,Park-centred control,tau050,buffer_10km,0.181109355312305,-0.19360790327354,0.55582661389815,sparse_two_stage_weighted,-0.573161177144788,0.754270532457093,TRUE,Agricultural expansion,Park-centred control,10 km,50%,50% 10 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
agriculture,Park-centred control,tau050,buffer_20km,0.208732737926087,-0.174722248479844,0.592187724332018,sparse_two_stage_weighted,-0.573161177144788,0.781893915070874,TRUE,Agricultural expansion,Park-centred control,20 km,50%,50% 20 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
fire,Militia-centred control,tau010,all_cells,0.0463889645791972,-0.0582053137640019,0.150983242922396,fire_beta_binomial,0.0548156654010484,0.00842670082185123,TRUE,Fire,Militia-centred control,All cells,10%,10% All cells,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
fire,Militia-centred control,tau010,buffer_05km,0.0140374763926274,,,fire_beta_binomial,0.0548156654010484,0.0407781890084211,,Fire,Militia-centred control,5 km,10%,10% 5 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
fire,Militia-centred control,tau010,buffer_10km,-0.0108922905953573,,,fire_beta_binomial,0.0548156654010484,0.0657079559964057,,Fire,Militia-centred control,10 km,10%,10% 10 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
fire,Militia-centred control,tau010,buffer_20km,0.0133165484827067,,,fire_beta_binomial,0.0548156654010484,0.0414991169183417,,Fire,Militia-centred control,20 km,10%,10% 20 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
fire,Militia-centred control,tau025,all_cells,0.0548156654010484,-0.0595593242519776,0.169190655054074,fire_beta_binomial,0.0548156654010484,0,TRUE,Fire,Militia-centred control,All cells,25%,25% All cells,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
fire,Militia-centred control,tau025,buffer_05km,0.0216974358918258,,,fire_beta_binomial,0.0548156654010484,0.0331182295092226,,Fire,Militia-centred control,5 km,25%,25% 5 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
fire,Militia-centred control,tau025,buffer_10km,0.0107091233715076,-0.0539890185970177,0.0754072653400329,fire_beta_binomial,0.0548156654010484,0.0441143700165104,TRUE,Fire,Militia-centred control,10 km,25%,25% 10 km,Profile contrast,Militia-centred control,TRUE,accepted or diagnostic fit
fire,Militia-centred control,tau025,buffer_20km,0.0316884680448249,,,fire_beta_binomial,0.0548156654010484,0.0231271973562235,,Fire,Militia-centred control,20 km,25%,25% 20 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
fire,Militia-centred control,tau050,all_cells,0.057751904071659,,,fire_beta_binomial,0.0548156654010484,0.00293623867061055,,Fire,Militia-centred control,All cells,50%,50% All cells,Profile contrast,Militia-centred control,FALSE,non-strict fire fit
fire,Militia-centred control,tau050,buffer_05km,0.0195129213337791,,,fire_beta_binomial,0.0548156654010484,0.0353027440672694,,Fire,Militia-centred control,5 km,50%,50% 5 km,Profile contrast,Militia-centred control,FALSE,non-strict fire fit
fire,Militia-centred control,tau050,buffer_10km,0.0199554761068823,,,fire_beta_binomial,0.0548156654010484,0.0348601892941661,,Fire,Militia-centred control,10 km,50%,50% 10 km,Profile contrast,Militia-centred control,FALSE,non-strict fire fit
fire,Militia-centred control,tau050,buffer_20km,0.0475875017650301,,,fire_beta_binomial,0.0548156654010484,0.0072281636360183,,Fire,Militia-centred control,20 km,50%,50% 20 km,Profile contrast,Militia-centred control,FALSE,non-strict fire fit
fire,Fragmented control,tau010,all_cells,0.201149262437525,0.107456854378909,0.294841670496142,fire_beta_binomial,0.192983453949622,0.00816580848790319,FALSE,Fire,Fragmented control,All cells,10%,10% All cells,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau010,buffer_05km,0.0860206433979898,,,fire_beta_binomial,0.192983453949622,0.106962810551632,,Fire,Fragmented control,5 km,10%,10% 5 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau010,buffer_10km,0.155681920833334,,,fire_beta_binomial,0.192983453949622,0.0373015331162886,,Fire,Fragmented control,10 km,10%,10% 10 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau010,buffer_20km,0.190407125425269,,,fire_beta_binomial,0.192983453949622,0.00257632852435361,,Fire,Fragmented control,20 km,10%,10% 20 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau025,all_cells,0.192983453949622,0.0899105339577348,0.296056373941509,fire_beta_binomial,0.192983453949622,0,FALSE,Fire,Fragmented control,All cells,25%,25% All cells,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau025,buffer_05km,0.0918668703928283,,,fire_beta_binomial,0.192983453949622,0.101116583556794,,Fire,Fragmented control,5 km,25%,25% 5 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau025,buffer_10km,0.170288429758373,0.111989185194311,0.228587674322435,fire_beta_binomial,0.192983453949622,0.0226987202027782,FALSE,Fire,Fragmented control,10 km,25%,25% 10 km,Profile contrast,Fragmented control,TRUE,accepted or diagnostic fit
fire,Fragmented control,tau025,buffer_20km,0.193955801128808,,,fire_beta_binomial,0.192983453949622,0.000972347179185734,,Fire,Fragmented control,20 km,25%,25% 20 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau050,all_cells,0.187245502055307,,,fire_beta_binomial,0.192983453949622,0.00573795189431472,,Fire,Fragmented control,All cells,50%,50% All cells,Profile contrast,Fragmented control,FALSE,non-strict fire fit
fire,Fragmented control,tau050,buffer_05km,0.089934715748369,,,fire_beta_binomial,0.192983453949622,0.103048738201253,,Fire,Fragmented control,5 km,50%,50% 5 km,Profile contrast,Fragmented control,FALSE,non-strict fire fit
fire,Fragmented control,tau050,buffer_10km,0.179420846133153,,,fire_beta_binomial,0.192983453949622,0.0135626078164695,,Fire,Fragmented control,10 km,50%,50% 10 km,Profile contrast,Fragmented control,FALSE,non-strict fire fit
