analysis_type,outcome,threshold,spatial_domain,boundary_id,boundary_center_km,boundary_family,analysis_set,profile_comparison,estimate,standard_error,lower_interval,upper_interval,fit_validity,source_file,outcome_label,comparison_label,Outcome,Comparison,accepted,valid_interval,fit_display_category
revised spatial pseudo-boundary falsification,fire,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Park-centred control minus Fragmented control,-0.188318356502252,0.102832228714308,-0.389865821232281,0.0132291082277776,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Fragmented,Fire,Park-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Militia-centred control minus Fragmented control,-0.165220284643166,0.107237918304387,-0.375402742296812,0.0449621730104807,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Militia-centred - Fragmented,Fire,Militia-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Park-centred control minus Militia-centred control,-0.0230980718590862,0.107650813610502,-0.234089789442103,0.187893645723931,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Militia-centred,Fire,Park-centred control minus Militia-centred control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Park-centred control minus Fragmented control,-0.0449152899641623,0.0807921052285072,-0.203264906447207,0.113434326518882,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Fragmented,Fire,Park-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Militia-centred control minus Fragmented control,-0.083578681681433,0.0844117554103076,-0.24902268215744,0.0818653187945738,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Militia-centred - Fragmented,Fire,Militia-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Park-centred control minus Militia-centred control,0.0386633917172707,0.0850205777792894,-0.127973878674923,0.205300662109464,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Militia-centred,Fire,Park-centred control minus Militia-centred control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Park-centred control minus Fragmented control,-0.102460211716044,0.0426402589370402,-0.186033583524105,-0.0188868399079833,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Fragmented,Fire,Park-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Militia-centred control minus Fragmented control,-0.159579306386865,0.0444340886528708,-0.246668519832352,-0.0724900929413787,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Militia-centred - Fragmented,Fire,Militia-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Park-centred control minus Militia-centred control,0.0571190946708212,0.0449781665061582,-0.0310364917718946,0.145274681113537,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Militia-centred,Fire,Park-centred control minus Militia-centred control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Park-centred control minus Fragmented control,-0.0341744631746722,0.0595996913255098,-0.150987711662376,0.0826387853130312,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Fragmented,Fire,Park-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Militia-centred control minus Fragmented control,0.109251257010739,0.0621878094423686,-0.0126346097737439,0.231137123795221,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Militia-centred - Fragmented,Fire,Militia-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Park-centred control minus Militia-centred control,-0.143425720185411,0.0629559601726758,-0.266817134735993,-0.0200343056348282,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Militia-centred,Fire,Park-centred control minus Militia-centred control,TRUE,TRUE,accepted/strict-valid fit
