Panel,Landscape group,Year,Territorial-control profile,Episode ID
S6A annual profile assignment,Depression,2001,Fragmented control,D-F1
S6A annual profile assignment,Depression,2002,Fragmented control,D-F1
S6A annual profile assignment,Depression,2003,Fragmented control,D-F1
S6A annual profile assignment,Depression,2004,Militia-centred control,D-M1
S6A annual profile assignment,Depression,2005,Militia-centred control,D-M1
S6A annual profile assignment,Depression,2006,Militia-centred control,D-M1
S6A annual profile assignment,Depression,2007,Fragmented control,D-F2
S6A annual profile assignment,Depression,2008,Fragmented control,D-F2
S6A annual profile assignment,Depression,2009,Fragmented control,D-F2
S6A annual profile assignment,Depression,2010,Fragmented control,D-F2
S6A annual profile assignment,Depression,2011,Fragmented control,D-F2
S6A annual profile assignment,Depression,2012,Fragmented control,D-F2
S6A annual profile assignment,Depression,2013,Militia-centred control,D-M2
S6A annual profile assignment,Depression,2014,Militia-centred control,D-M2
S6A annual profile assignment,Depression,2015,Militia-centred control,D-M2
S6A annual profile assignment,Depression,2016,Militia-centred control,D-M2
S6A annual profile assignment,Depression,2017,Park-centred control,D-P1
S6A annual profile assignment,Depression,2018,Park-centred control,D-P1
S6A annual profile assignment,Depression,2019,Park-centred control,D-P1
S6A annual profile assignment,Depression,2020,Park-centred control,D-P1
S6A annual profile assignment,Depression,2021,Park-centred control,D-P1
S6A annual profile assignment,Depression,2022,Park-centred control,D-P1
S6A annual profile assignment,Plateau,2001,Fragmented control,P-F1
S6A annual profile assignment,Plateau,2002,Fragmented control,P-F1
S6A annual profile assignment,Plateau,2003,Fragmented control,P-F1
S6A annual profile assignment,Plateau,2004,Militia-centred control,P-M1
S6A annual profile assignment,Plateau,2005,Militia-centred control,P-M1
S6A annual profile assignment,Plateau,2006,Militia-centred control,P-M1
S6A annual profile assignment,Plateau,2007,Fragmented control,P-F2
S6A annual profile assignment,Plateau,2008,Fragmented control,P-F2
S6A annual profile assignment,Plateau,2009,Fragmented control,P-F2
S6A annual profile assignment,Plateau,2010,Fragmented control,P-F2
S6A annual profile assignment,Plateau,2011,Park-centred control,P-P1
S6A annual profile assignment,Plateau,2012,Park-centred control,P-P1
S6A annual profile assignment,Plateau,2013,Militia-centred control,P-M2
S6A annual profile assignment,Plateau,2014,Militia-centred control,P-M2
S6A annual profile assignment,Plateau,2015,Militia-centred control,P-M2
S6A annual profile assignment,Plateau,2016,Park-centred control,P-P2
S6A annual profile assignment,Plateau,2017,Park-centred control,P-P2
S6A annual profile assignment,Plateau,2018,Park-centred control,P-P2
S6A annual profile assignment,Plateau,2019,Park-centred control,P-P2
S6A annual profile assignment,Plateau,2020,Park-centred control,P-P2
S6A annual profile assignment,Plateau,2021,Park-centred control,P-P2
S6A annual profile assignment,Plateau,2022,Park-centred control,P-P2
