Outcome,Diagnostic type,Scenario,Profile or comparison,Estimate,Lower 95%,Upper 95%,Domain,Model implementation,Interpretation
Agricultural expansion,landscape-specific estimates,Depression,Militia-centred control,0.121886108403553,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Agricultural expansion,landscape-specific estimates,Depression,Fragmented control,0.50123627669277,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Agricultural expansion,landscape-specific estimates,Depression,Park-centred control,-0.521259435317188,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Tree-cover loss,landscape-specific estimates,Depression,Militia-centred control,-1.77110834177277,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Tree-cover loss,landscape-specific estimates,Depression,Fragmented control,-0.742989646378223,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Tree-cover loss,landscape-specific estimates,Depression,Park-centred control,-2.590601861582,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Fire,landscape-specific estimates,Depression,Militia-centred control,-0.167613478684898,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Fire,landscape-specific estimates,Depression,Fragmented control,-0.0313746932894314,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Fire,landscape-specific estimates,Depression,Park-centred control,-0.216156094535368,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Agricultural expansion,landscape-specific estimates,Plateau,Militia-centred control,-6.65613129234087,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Agricultural expansion,landscape-specific estimates,Plateau,Fragmented control,-7.90722524881635,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Agricultural expansion,landscape-specific estimates,Plateau,Park-centred control,-8.26842459404328,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Tree-cover loss,landscape-specific estimates,Plateau,Militia-centred control,-14.3063339330161,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Tree-cover loss,landscape-specific estimates,Plateau,Fragmented control,-3.35481429485978,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Tree-cover loss,landscape-specific estimates,Plateau,Park-centred control,-4.50015930756088,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Fire,landscape-specific estimates,Plateau,Militia-centred control,0.335452867763578,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Fire,landscape-specific estimates,Plateau,Fragmented control,0.493562490790199,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Fire,landscape-specific estimates,Plateau,Park-centred control,0.348773057912947,,,landscape-specific complete-landscape diagnostic,beta-binomial unresolved,landscape-specific diagnostic; not primary
Fire,transition-year shift,T1_earlier,Fragmented control,0.195328133463174,0.0886598532805834,0.301996413645765,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T1_earlier,Militia-centred control,0.062434345990589,-0.0477917226878059,0.172660414668984,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T1_earlier,Park-centred control,0.118596668732216,0.0130398172472079,0.224153520217224,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T1_earlier,Fragmented control,-0.865426974633052,-1.05465853194315,-0.676195417322954,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T1_earlier,Militia-centred control,-2.14069110268341,-2.62137030918244,-1.66001189618439,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T1_earlier,Park-centred control,-3.31628967733046,-3.80925813013574,-2.82332122452518,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T1_earlier,Fragmented control,0.478472014689385,0.216904554147077,0.740039475231693,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T1_earlier,Militia-centred control,0.112290817590017,-0.082574497554193,0.307156132734227,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T1_earlier,Park-centred control,-0.553580970529677,-0.789226468029075,-0.317935473030278,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T1_later,Fragmented control,0.182592291204842,0.0823302191561608,0.282854363253523,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T1_later,Militia-centred control,0.0577720653103265,-0.0618255913729522,0.177369721993605,complete landscape diagnostic,nlminb_default,sensitivity only
