Outcome,Boundary centre,Boundary role,Comparison,Estimate,Lower 95%,Upper 95%,Fit validity,Boundary-specificity classification
Agricultural expansion,-20,inner descriptive check,Militia-centred control minus Fragmented control,0.097449290126063,-0.101061303090511,0.295959883342637,accepted two-stage estimate,
Agricultural expansion,-15,inner descriptive check,Militia-centred control minus Fragmented control,-0.269799359017974,-0.811044312332285,0.271445594296337,accepted two-stage estimate,
Agricultural expansion,0,legal boundary,Militia-centred control minus Fragmented control,-0.0647296164837915,-0.634439696893608,0.504980463926025,accepted two-stage estimate,
Agricultural expansion,15,dense outer gradient,Militia-centred control minus Fragmented control,0.609798873942074,-0.210989668812323,1.43058741669647,accepted two-stage estimate,
Agricultural expansion,20,primary spaced outer boundary,Militia-centred control minus Fragmented control,-0.26595794556471,-0.843752179211932,0.311836288082512,accepted two-stage estimate,
Agricultural expansion,25,dense outer gradient,Militia-centred control minus Fragmented control,-0.631344841025272,-1.40591451744102,0.143224835390475,accepted two-stage estimate,
Agricultural expansion,30,dense outer gradient,Militia-centred control minus Fragmented control,-0.348888748699409,-0.833363021742951,0.135585524344133,accepted two-stage estimate,
Agricultural expansion,35,dense outer gradient,Militia-centred control minus Fragmented control,-0.109489315389717,-0.498356748916817,0.279378118137383,accepted two-stage estimate,
Agricultural expansion,40,primary spaced outer boundary,Militia-centred control minus Fragmented control,-0.135738172517947,-0.563703338957582,0.292226993921689,accepted two-stage estimate,
Agricultural expansion,45,dense outer gradient,Militia-centred control minus Fragmented control,-0.115134751012937,-0.576910277307583,0.34664077528171,accepted two-stage estimate,
Agricultural expansion,50,dense outer gradient,Militia-centred control minus Fragmented control,-0.111808933322578,-0.578055783026086,0.35443791638093,accepted two-stage estimate,
Agricultural expansion,55,dense outer gradient,Militia-centred control minus Fragmented control,0.096415766901378,-0.410469939044064,0.60330147284682,accepted two-stage estimate,
Agricultural expansion,60,primary spaced outer boundary,Militia-centred control minus Fragmented control,0.287447050038893,-0.12303293764828,0.697927037726066,accepted two-stage estimate,
Agricultural expansion,-20,inner descriptive check,Park-centred control minus Fragmented control,0.0884858914482998,-0.0925715332632072,0.269543316159807,accepted two-stage estimate,
Agricultural expansion,-15,inner descriptive check,Park-centred control minus Fragmented control,-0.345581946220086,-0.979936846372986,0.288772953932815,accepted two-stage estimate,
Agricultural expansion,0,legal boundary,Park-centred control minus Fragmented control,-0.633446962428786,-1.24385778329436,-0.0230361415632143,accepted two-stage estimate,
