k,mean silhouette width,sample size,sample seed,selected
2,0.251440254786702,20000,42,FALSE
3,0.270407389443984,20000,42,TRUE
4,0.228383923313871,20000,42,FALSE
5,0.233849469296027,20000,42,FALSE
6,0.24060849040407,20000,42,FALSE
7,0.260680561000788,20000,42,FALSE
8,0.251238932123871,20000,42,FALSE
9,0.237662765692864,20000,42,FALSE
10,0.223296220146729,20000,42,FALSE
11,0.240806683222841,20000,42,FALSE
12,0.231572878719996,20000,42,FALSE
13,0.229288757277202,20000,42,FALSE
14,0.218504759956145,20000,42,FALSE
15,0.217877267079711,20000,42,FALSE
