Panel,Landscape group,Year,Territorial-control profile,Episode ID,Operational interpretation,Key documented events,Primary evidence sources,Transition rationale,Coding confidence,Alternative plausible transition years,Source manuscript location
S6A annual profile assignment,Depression,2001,Fragmented control,D-F1,,,,,,,
S6A annual profile assignment,Depression,2002,Fragmented control,D-F1,,,,,,,
S6A annual profile assignment,Depression,2003,Fragmented control,D-F1,,,,,,,
S6A annual profile assignment,Depression,2004,Militia-centred control,D-M1,,,,,,,
S6A annual profile assignment,Depression,2005,Militia-centred control,D-M1,,,,,,,
S6A annual profile assignment,Depression,2006,Militia-centred control,D-M1,,,,,,,
S6A annual profile assignment,Depression,2007,Fragmented control,D-F2,,,,,,,
S6A annual profile assignment,Depression,2008,Fragmented control,D-F2,,,,,,,
S6A annual profile assignment,Depression,2009,Fragmented control,D-F2,,,,,,,
S6A annual profile assignment,Depression,2010,Fragmented control,D-F2,,,,,,,
S6A annual profile assignment,Depression,2011,Fragmented control,D-F2,,,,,,,
S6A annual profile assignment,Depression,2012,Fragmented control,D-F2,,,,,,,
S6A annual profile assignment,Depression,2013,Militia-centred control,D-M2,,,,,,,
S6A annual profile assignment,Depression,2014,Militia-centred control,D-M2,,,,,,,
S6A annual profile assignment,Depression,2015,Militia-centred control,D-M2,,,,,,,
S6A annual profile assignment,Depression,2016,Militia-centred control,D-M2,,,,,,,
S6A annual profile assignment,Depression,2017,Park-centred control,D-P1,,,,,,,
S6A annual profile assignment,Depression,2018,Park-centred control,D-P1,,,,,,,
S6A annual profile assignment,Depression,2019,Park-centred control,D-P1,,,,,,,
S6A annual profile assignment,Depression,2020,Park-centred control,D-P1,,,,,,,
S6A annual profile assignment,Depression,2021,Park-centred control,D-P1,,,,,,,
S6A annual profile assignment,Depression,2022,Park-centred control,D-P1,,,,,,,
S6A annual profile assignment,Plateau,2001,Fragmented control,P-F1,,,,,,,
S6A annual profile assignment,Plateau,2002,Fragmented control,P-F1,,,,,,,
S6A annual profile assignment,Plateau,2003,Fragmented control,P-F1,,,,,,,
S6A annual profile assignment,Plateau,2004,Militia-centred control,P-M1,,,,,,,
S6A annual profile assignment,Plateau,2005,Militia-centred control,P-M1,,,,,,,
S6A annual profile assignment,Plateau,2006,Militia-centred control,P-M1,,,,,,,
S6A annual profile assignment,Plateau,2007,Fragmented control,P-F2,,,,,,,
S6A annual profile assignment,Plateau,2008,Fragmented control,P-F2,,,,,,,
S6A annual profile assignment,Plateau,2009,Fragmented control,P-F2,,,,,,,
S6A annual profile assignment,Plateau,2010,Fragmented control,P-F2,,,,,,,
S6A annual profile assignment,Plateau,2011,Park-centred control,P-P1,,,,,,,
S6A annual profile assignment,Plateau,2012,Park-centred control,P-P1,,,,,,,
S6A annual profile assignment,Plateau,2013,Militia-centred control,P-M2,,,,,,,
S6A annual profile assignment,Plateau,2014,Militia-centred control,P-M2,,,,,,,
S6A annual profile assignment,Plateau,2015,Militia-centred control,P-M2,,,,,,,
S6A annual profile assignment,Plateau,2016,Park-centred control,P-P2,,,,,,,
S6A annual profile assignment,Plateau,2017,Park-centred control,P-P2,,,,,,,
S6A annual profile assignment,Plateau,2018,Park-centred control,P-P2,,,,,,,
S6A annual profile assignment,Plateau,2019,Park-centred control,P-P2,,,,,,,
S6A annual profile assignment,Plateau,2020,Park-centred control,P-P2,,,,,,,
S6A annual profile assignment,Plateau,2021,Park-centred control,P-P2,,,,,,,
S6A annual profile assignment,Plateau,2022,Park-centred control,P-P2,,,,,,,
S6B historical episode evidence,Depression,2001-2003,Fragmented control,D-F1,"Weak, spatially limited park authority in the Kamalondo Depression with locally negotiated access and no consolidated militia territorial control.","Armed actors were reported using Upemba as refuge from 2002. Emergency assistance and follow-up provisioning during 2000-2002 enabled only a limited resumption of patrol activity, concentrated principally around the Plateau core, while ICCN leadership continued to rely heavily on negotiation and contact with armed actors rather than consolidated coercive capacity. OKA convened a November 2003 table ronde involving customary authorities and ICCN, showing negotiated conservation rather than consolidated enforcement.",Hasson 2003; Nouvelles Approches 2002-2004; OKA Kanyundu 2018; Van Leeuwe et al. 2009; Hasson 2015,The study window imposes the 2001 start. The episode ends in 2003 because the 28 May 2004 Lusinga attack marks a dated rupture from weak negotiated authority to open militia-centred coercion and park withdrawal.,Moderate,2000 start is outside the remote-sensing window; 2004 is the dated transition year rather than a plausible alternative for the fragmented episode.,"Chapter 1 historical manuscript, governance chronology, 2001-2003; Upemba history manuscript, Chapter 11, section on the emergence of Mai-Mai and negotiated conservation"
S6B historical episode evidence,Depression,2004-2006,Militia-centred control,D-M1,Militia and military coercion dominated practical access conditions after the Lusinga attack; lawful park authority retreated from the Depression and routine enforcement collapsed.,"On 28 May 2004, around forty Mai-Mai fighters attacked Lusinga, killing park staff and family members, taking hostages, burning tourist rondavels, looting archives and possessions, and precipitating withdrawal from the Kamalondo Depression. The government then deployed roughly 85-100 FARDC soldiers to Lusinga for about two years, while reports describe military-linked poaching and constrained ranger authority. The broader Mitwaba-Pweto-Manono conflict displaced villages and disrupted access routes; Gédéon surrendered at Mitwaba on 16 May 2006.",Van Leeuwe et al. 2009; Hasson 2015; Nouvelles Approches 2002-2004; Hecht 2006; Human Rights Watch 2006,"The 2004 start is anchored by the dated Lusinga attack. The 2006 end follows Gédéon's surrender and demobilization dynamics, but the following period is coded as fragmented rather than park-centred because reopening and ranger salary restoration did not restore consolidated park control.",High,2007 is a plausible first post-conflict fragmented year; no one-year alternative before 2004 is plausible because the attack is a dated rupture.,"Chapter 1 historical manuscript, governance chronology, 2004-2006; Upemba history manuscript, Chapter 11, section on the 2004 attack"
S6B historical episode evidence,Depression,2007-2012,Fragmented control,D-F2,"Post-demobilization conditions combined residual armed presence, negotiated conservation through customary authorities, and limited conservation re-entry without dominant park control in the Depression.","From 2007 BAK lobbied for renewed support, and BAK-ICCN formalized a contract in April 2008. FZS scouting and the WCS survey in 2008 documented catastrophic governance conditions, rent-seeking allegations, and residual Mai-Mai presence around Mbwe along the Lufira. OKA and BAK activity, including the 2010 Chief Kayumba declaration recognizing the 1975 boundary, indicate negotiated recognition of park space. FZS technical support from 2011 remained concentrated around Lusinga and the plateaus; the Depression stayed beyond effective operational reach.",Van Leeuwe et al. 2009; Hasson 2015; FZS 2009; OKA Kanyundu 2018; Chief Kayumba 2010,"The 2007 start follows Gédéon's 2006 surrender and partial re-entry. The Depression episode continues through 2012 because donor-supported operations strengthened primarily around Lusinga and the Plateau, while evidence for systematic Depression penetration appears only in late 2016 and early 2017.",Moderate,2008 is a plausible alternative start for renewed negotiated conservation because of the BAK-ICCN contract; 2011-2012 are not coded park-centred in the Depression because operational reach remained spatially limited.,"Chapter 1 historical manuscript, governance chronology, 2007-2010; Upemba history manuscript, Chapter 12, sections on BAK, FZS, and negotiated boundary recognition"
S6B historical episode evidence,Depression,2013-2016,Militia-centred control,D-M2,Renewed armed insecurity and weak state or park access made militia-linked control and coercive access constraints more important than park-centred authority in the Depression.,"After Gedeon's 2011 escape, Bakata Katanga activity intensified across 2013-2016. OCHA described renewed insecurity with large-scale displacement and more than 1,000 houses burned in 70 villages between October 2013 and mid-January 2014. MONUSCO reported separation of 82 children from Mai-Mai in August 2013, Radio Okapi linked the Mbwe corridor inside Upemba to armed territorial and extractive control in April 2013, and later reporting described displacement, weak state access, elephant-poaching networks, and constrained park penetration. Katembo's appointment in 2015 strengthened leadership, but systematic Depression penetration is documented only in late 2016 and early 2017.",OCHA 2013; MONUSCO 2013; Radio Okapi 2013a; Asmani 2015; Ngoy 2015; Huisman 2017; Katembo 2016; Katembo 2017,"The 2013 start follows renewed armed mobilization and 2012-2013 incidents around Mbwe and Upemba. The episode ends in 2016 because late-2016 operations begin to penetrate the Depression, but the Depression transition to park-centred control is coded in 2017 because operational reach becomes clear only then.",Moderate,2012 is a plausible earlier start for renewed militia-centred influence; 2016 is a plausible alternative park-centred transition year but is retained as transitional rather than full Depression control.,"Chapter 1 historical manuscript, governance chronology, 2011-2016; Upemba history manuscript, Chapter 12, sections on renewed insecurity and Bakata Katanga"
S6B historical episode evidence,Depression,2017-2022,Park-centred control,D-P1,"Expanded park operational reach, public-private management capacity, and renewed patrol penetration made park authority the central practical control actor in the Depression, though control remained incomplete and insecurity persisted.","Late-2016 and early-2017 elephant-protection operations under Rodrigue Katembo deployed ranger teams along the Bukama-Lake Kabwe-Kasale axis and toward Manono and Malemba-Nkulu, documenting renewed patrol penetration beyond the Plateau core into the Kamalondo Depression. The formal public-private partnership began in July 2017 after creation of the Upemba-Kundelungu Complex in June 2016 and appointment of Robert Muir as chief park warden. Later professionalization included ranger training in 2019-2020 and disruption of elephant-poaching networks, while attacks in 2021 and 2022 show partial rather than exclusive control.",Katembo 2016; Katembo 2017; Brugière 2020; d'Huart 2017; Villaespesa 2020; IUCN NL 2021; MONUSCO 2022a; MONUSCO 2022b,"The Depression transition is one year later than the Plateau because the evidence for systematic reach into the Depression becomes clear only in late 2016 and early 2017, whereas Plateau strengthening began earlier around the operational core.",Moderate,2016 is the principal plausible alternative transition year because the first elephant-protection operations began in late 2016.,"Chapter 1 historical manuscript, governance chronology, 2016-2022; Upemba history manuscript, Chapter 12, sections on elephant-protection operations and the public-private partnership"
S6B historical episode evidence,Plateau,2001-2003,Fragmented control,P-F1,"Weak but not absent park authority persisted around the Plateau core, supported by modest relief and negotiation, while no actor consolidated territorial control.","Armed actors were reported using Upemba as refuge from 2002. Emergency assistance and follow-up provisioning during 2000-2002 enabled only a limited resumption of patrol activity, concentrated principally around the Plateau core, while ICCN leadership continued to rely heavily on negotiation and contact with armed actors rather than consolidated coercive capacity. OKA convened a November 2003 table ronde involving customary authorities and ICCN, showing fragmented, negotiated conservation rather than dominant enforcement.",Hasson 2003; Nouvelles Approches 2002-2004; OKA Kanyundu 2018; Van Leeuwe et al. 2009; Hasson 2015,The 2001 start is imposed by the remote-sensing study period. The episode ends in 2003 because the May 2004 Lusinga attack produced a dated collapse of the Plateau headquarters and shifted access conditions toward militia-centred coercion.,Moderate,2000 start is outside the remote-sensing window; no one-year alternative before 2004 is as well supported as the dated Lusinga rupture.,"Chapter 1 historical manuscript, governance chronology, 2001-2003; Upemba history manuscript, Chapter 11, section on the emergence of Mai-Mai and negotiated conservation"
