Outcome,Threshold,Estimand type,Profile or comparison,Estimate,SE,Lower 95%,Upper 95%,Event support,Model,Fit validity,Interpretation
Agricultural expansion,10%,Profile contrast,Militia-centred control,-0.318243792657785,,-0.59527839573431,-0.0412091895812605,882,sparse_two_stage_weighted,accepted two-stage estimate,threshold sensitivity
Agricultural expansion,10%,Profile contrast,Fragmented control,0.112932772855509,,-0.335711989796915,0.561577535507934,882,sparse_two_stage_weighted,accepted two-stage estimate,threshold sensitivity
Agricultural expansion,10%,Profile contrast,Park-centred control,-1.12463716205984,,-1.32132338297537,-0.927950941144297,882,sparse_two_stage_weighted,accepted two-stage estimate,threshold sensitivity
Agricultural expansion,10%,Pairwise difference,Militia-centred control minus Fragmented control,-0.431176565513295,,-0.986745329384665,0.124392198358075,882,sparse_two_stage_weighted,accepted two-stage estimate,threshold sensitivity
Agricultural expansion,10%,Pairwise difference,Park-centred control minus Militia-centred control,-0.80639336940205,,-1.10967322926358,-0.503113509540518,882,sparse_two_stage_weighted,accepted two-stage estimate,threshold sensitivity
Agricultural expansion,10%,Pairwise difference,Park-centred control minus Fragmented control,-1.23756993491534,,-1.75491558586048,-0.72022428397021,882,sparse_two_stage_weighted,accepted two-stage estimate,threshold sensitivity
Agricultural expansion,25%,Profile contrast,Militia-centred control,0.221756230967078,,-0.048299693024539,0.491812154958695,518,sparse_two_stage_weighted,accepted two-stage estimate,primary threshold
Agricultural expansion,25%,Profile contrast,Fragmented control,0.286485847450869,,-0.16429994564532,0.737271640547059,518,sparse_two_stage_weighted,accepted two-stage estimate,primary threshold
Agricultural expansion,25%,Profile contrast,Park-centred control,-0.346961114977916,,-0.656863988866315,-0.0370582410895171,518,sparse_two_stage_weighted,accepted two-stage estimate,primary threshold
Agricultural expansion,25%,Pairwise difference,Militia-centred control minus Fragmented control,-0.0647296164837915,,-0.634439696893608,0.504980463926025,518,sparse_two_stage_weighted,accepted two-stage estimate,primary threshold
