Outcome,Spatial domain,Estimand type,Profile or comparison,Estimate,SE,Lower 95%,Upper 95%,Event support,Model,Fit validity,Interpretation
Agricultural expansion,All cells,Profile contrast,Militia-centred control,0.163892757837478,,-0.139847364071747,0.467632879746703,2685,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,All cells,Profile contrast,Fragmented control,0.562739843664829,,0.0688029298220318,1.05667675750763,2685,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,All cells,Profile contrast,Park-centred control,-0.573161177144788,,-0.89042499355172,-0.255897360737855,2685,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,All cells,Pairwise difference,Militia-centred control minus Fragmented control,-0.398847085827351,,-0.998456221331338,0.200762049676636,2685,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,All cells,Pairwise difference,Park-centred control minus Militia-centred control,-0.737053934982266,,-1.15819466277385,-0.31591320719068,2685,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,All cells,Pairwise difference,Park-centred control minus Fragmented control,-1.13590102080962,,-1.76510796128768,-0.506694080331551,2685,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,5 km,Profile contrast,Militia-centred control,0.448932268607617,,0.0843480035007602,0.813516533714473,392,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,5 km,Profile contrast,Fragmented control,0.316465009565712,,-0.11932622343449,0.752256242565914,392,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,5 km,Profile contrast,Park-centred control,-0.128234216763598,,-0.445241483282673,0.188773049755477,392,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,5 km,Pairwise difference,Militia-centred control minus Fragmented control,0.132467259041905,,-0.505072006093741,0.770006524177551,392,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,5 km,Pairwise difference,Park-centred control minus Militia-centred control,-0.577166485371215,,-1.11929278542048,-0.0350401853219516,392,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
