Threshold,Spatial domain,Optimizer,Convergence code,Positive-definite Hessian,Model rank,Maximum framework gradient,Maximum independent gradient,Strict-valid,Selected
tau010,10 km,A_baseline,0,TRUE,47,0.00152265481443692,0.00175131090629042,FALSE,FALSE
tau010,10 km,B_strict_nlminb,1,TRUE,47,0.000844377757005077,0.000840007506238832,FALSE,FALSE
tau010,10 km,C_strict_nlminb_polish,1,TRUE,47,0.000844377757005077,0.000840007506238832,FALSE,FALSE
tau010,10 km,BFGS_refined,0,TRUE,47,0.000844377757346138,0.000840685613569997,TRUE,FALSE
tau025,10 km,A_baseline,0,TRUE,47,0.00142877193426116,0.00146183040059197,FALSE,FALSE
tau025,10 km,B_strict_nlminb,1,TRUE,47,0.000954072385866312,0.000946870074353509,FALSE,FALSE
tau025,10 km,C_strict_nlminb_polish,1,TRUE,47,0.000518733565343155,0.0005255655502009,FALSE,FALSE
tau025,10 km,BFGS_refined,0,TRUE,47,0.000954072389845351,0.000946827110259952,TRUE,TRUE
tau050,10 km,A_baseline,0,TRUE,47,0.00131827559568798,0.00285280818624582,FALSE,FALSE
tau050,10 km,B_strict_nlminb,1,TRUE,47,0.000828918166121184,0.00195721675078664,FALSE,FALSE
tau050,10 km,C_strict_nlminb_polish,1,TRUE,47,0.000828918166121184,0.00195721675078664,FALSE,FALSE
tau050,10 km,BFGS_refined,0,TRUE,47,0.000828918169020199,0.00195721752891101,FALSE,FALSE
