Outcome,Boundary centre,Boundary role,Profile,Estimate,Lower 95%,Upper 95%,Fit validity,Event support
Agricultural expansion,0,legal boundary,Fragmented control,0.286485847450869,-0.16429994564532,0.737271640547059,accepted two-stage estimate,518
Agricultural expansion,0,legal boundary,Militia-centred control,0.221756230967078,-0.048299693024539,0.491812154958695,accepted two-stage estimate,518
Agricultural expansion,0,legal boundary,Park-centred control,-0.346961114977916,-0.656863988866315,-0.0370582410895171,accepted two-stage estimate,518
Agricultural expansion,-15,inner descriptive check,Fragmented control,0.33974614689754,-0.0495950738226223,0.729087367617703,accepted two-stage estimate,31
Agricultural expansion,-15,inner descriptive check,Militia-centred control,0.0699467878795665,-0.262769815284968,0.402663391044101,accepted two-stage estimate,31
Agricultural expansion,-15,inner descriptive check,Park-centred control,-0.00583579932254547,-0.471028274498896,0.459356675853805,accepted two-stage estimate,31
Agricultural expansion,-20,inner descriptive check,Fragmented control,1.011304597747,0.818593549436771,1.20401564605723,accepted two-stage estimate,1
Agricultural expansion,-20,inner descriptive check,Militia-centred control,1.10875388787306,1.08863161504592,1.1288761607002,accepted two-stage estimate,1
Agricultural expansion,-20,inner descriptive check,Park-centred control,1.0997904891953,1.07740288111309,1.12217809727751,accepted two-stage estimate,1
Agricultural expansion,20,primary spaced outer boundary,Fragmented control,-0.00217248540697795,-0.446258303608223,0.441913332794267,accepted two-stage estimate,156
Agricultural expansion,20,primary spaced outer boundary,Militia-centred control,-0.268130430971688,-0.655026020432392,0.118765158489016,accepted two-stage estimate,156
Agricultural expansion,20,primary spaced outer boundary,Park-centred control,-0.200567225262884,-0.552826670246888,0.15169221972112,accepted two-stage estimate,156
Agricultural expansion,40,primary spaced outer boundary,Fragmented control,0.269866009129522,-0.0184251641653207,0.558157182424365,accepted two-stage estimate,1214
Agricultural expansion,40,primary spaced outer boundary,Militia-centred control,0.134127836611575,-0.138601640250463,0.406857313473614,accepted two-stage estimate,1214
Agricultural expansion,40,primary spaced outer boundary,Park-centred control,-0.103947013761258,-0.483587275964376,0.275693248441859,accepted two-stage estimate,1214
