Outcome,Estimand type,Estimand,legal-boundary estimate,spaced-outer comparison result,dense-gradient result,inner-check support,final boundary-specificity classification,reason
Agricultural expansion,Profile-specific contrast,Fragmented control,,actual outside +20/+40/+60 range,actual outside dense outer 80% envelope,limited inner checks only; 1 and 31 events,inconclusive,sparse support or model-validity limits prevent boundary-specific interpretation
Agricultural expansion,Profile-specific contrast,Militia-centred control,,actual outside +20/+40/+60 range,actual within dense outer 80% envelope,limited inner checks only; 1 and 31 events,inconclusive,sparse support or model-validity limits prevent boundary-specific interpretation
Agricultural expansion,Pairwise profile difference,Militia-centred control minus Fragmented control,-0.0647296164837915,actual within +20/+40/+60 range,actual within dense outer 80% envelope,limited inner checks only; 1 and 31 events,inconclusive,sparse support or model-validity limits prevent boundary-specific interpretation
Agricultural expansion,Profile-specific contrast,Park-centred control,,actual outside +20/+40/+60 range,actual within dense outer 80% envelope,limited inner checks only; 1 and 31 events,inconclusive,sparse support or model-validity limits prevent boundary-specific interpretation
Agricultural expansion,Pairwise profile difference,Park-centred control minus Fragmented control,-0.633446962428786,actual outside +20/+40/+60 range,actual outside dense outer 80% envelope,limited inner checks only; 1 and 31 events,inconclusive,sparse support or model-validity limits prevent boundary-specific interpretation
Agricultural expansion,Pairwise profile difference,Park-centred control minus Militia-centred control,-0.568717345944994,actual outside +20/+40/+60 range,actual outside dense outer 80% envelope,limited inner checks only; 1 and 31 events,inconclusive,sparse support or model-validity limits prevent boundary-specific interpretation
Fire,Profile-specific contrast,Fragmented control,,actual within +20/+40/+60 range,actual within dense outer 80% envelope,inner checks reported descriptively,not boundary-specific,similar estimates recur along pseudo-boundaries or the actual estimate lies within the outer diagnostic distribution
Fire,Profile-specific contrast,Militia-centred control,,actual within +20/+40/+60 range,actual within dense outer 80% envelope,inner checks reported descriptively,not boundary-specific,similar estimates recur along pseudo-boundaries or the actual estimate lies within the outer diagnostic distribution
Fire,Pairwise profile difference,Militia-centred control minus Fragmented control,-0.159579306386865,actual outside +20/+40/+60 range,actual outside dense outer 80% envelope,inner checks reported descriptively,partial boundary-specific support,actual estimate is distinct from one pseudo-boundary comparison but not uniquely across all diagnostics
Fire,Profile-specific contrast,Park-centred control,,actual within +20/+40/+60 range,actual within dense outer 80% envelope,inner checks reported descriptively,not boundary-specific,similar estimates recur along pseudo-boundaries or the actual estimate lies within the outer diagnostic distribution
Fire,Pairwise profile difference,Park-centred control minus Fragmented control,-0.102460211716044,actual within +20/+40/+60 range,actual within dense outer 80% envelope,inner checks reported descriptively,not boundary-specific,similar estimates recur along pseudo-boundaries or the actual estimate lies within the outer diagnostic distribution
Fire,Pairwise profile difference,Park-centred control minus Militia-centred control,0.0571190946708212,actual within +20/+40/+60 range,actual within dense outer 80% envelope,inner checks reported descriptively,not boundary-specific,similar estimates recur along pseudo-boundaries or the actual estimate lies within the outer diagnostic distribution
Tree-cover loss,Profile-specific contrast,Fragmented control,,actual outside +20/+40/+60 range,actual outside dense outer 80% envelope,limited inner checks only; 2 and 10 events,boundary-specific support,actual estimate is outside the spaced-outer range and dense outer envelope with adequate diagnostics
Tree-cover loss,Profile-specific contrast,Militia-centred control,,actual outside +20/+40/+60 range,actual outside dense outer 80% envelope,limited inner checks only; 2 and 10 events,boundary-specific support,actual estimate is outside the spaced-outer range and dense outer envelope with adequate diagnostics
Tree-cover loss,Pairwise profile difference,Militia-centred control minus Fragmented control,-0.0517637594727072,actual within +20/+40/+60 range,actual within dense outer 80% envelope,limited inner checks only; 2 and 10 events,not boundary-specific,similar estimates recur along pseudo-boundaries or the actual estimate lies within the outer diagnostic distribution
Tree-cover loss,Profile-specific contrast,Park-centred control,,actual outside +20/+40/+60 range,actual outside dense outer 80% envelope,limited inner checks only; 2 and 10 events,boundary-specific support,actual estimate is outside the spaced-outer range and dense outer envelope with adequate diagnostics
Tree-cover loss,Pairwise profile difference,Park-centred control minus Fragmented control,-0.584172628184976,actual outside +20/+40/+60 range,actual within dense outer 80% envelope,limited inner checks only; 2 and 10 events,partial boundary-specific support,actual estimate is distinct from one pseudo-boundary comparison but not uniquely across all diagnostics
Tree-cover loss,Pairwise profile difference,Park-centred control minus Militia-centred control,-0.532408868712269,actual within +20/+40/+60 range,actual within dense outer 80% envelope,limited inner checks only; 2 and 10 events,not boundary-specific,similar estimates recur along pseudo-boundaries or the actual estimate lies within the outer diagnostic distribution
