Outcome,Boundary centre,Boundary role,Comparison,Estimate,Lower 95%,Upper 95%,Fit validity,Boundary-specificity classification
Agricultural expansion,-20,inner descriptive check,Militia-centred control minus Fragmented control,0.097449290126063,-0.101061303090511,0.295959883342637,accepted two-stage estimate,
Agricultural expansion,-15,inner descriptive check,Militia-centred control minus Fragmented control,-0.269799359017974,-0.811044312332285,0.271445594296337,accepted two-stage estimate,
Agricultural expansion,0,legal boundary,Militia-centred control minus Fragmented control,-0.0647296164837915,-0.634439696893608,0.504980463926025,accepted two-stage estimate,
Agricultural expansion,20,primary spaced outer boundary,Militia-centred control minus Fragmented control,-0.26595794556471,-0.843752179211932,0.311836288082512,accepted two-stage estimate,
Agricultural expansion,40,primary spaced outer boundary,Militia-centred control minus Fragmented control,-0.135738172517947,-0.563703338957582,0.292226993921689,accepted two-stage estimate,
Agricultural expansion,60,primary spaced outer boundary,Militia-centred control minus Fragmented control,0.287447050038893,-0.12303293764828,0.697927037726066,accepted two-stage estimate,
Agricultural expansion,-20,inner descriptive check,Park-centred control minus Militia-centred control,-0.00896339867776323,-0.0414367488887202,0.0235099515331938,accepted two-stage estimate,
Agricultural expansion,-15,inner descriptive check,Park-centred control minus Militia-centred control,-0.075782587202112,-0.680184093490902,0.528618919086678,accepted two-stage estimate,
Agricultural expansion,0,legal boundary,Park-centred control minus Militia-centred control,-0.568717345944994,-1.00092366706052,-0.136511024829467,accepted two-stage estimate,
Agricultural expansion,20,primary spaced outer boundary,Park-centred control minus Militia-centred control,0.0675632057088041,-0.48063034861339,0.615756760030998,accepted two-stage estimate,
Agricultural expansion,40,primary spaced outer boundary,Park-centred control minus Militia-centred control,-0.238074850372834,-0.786799157985172,0.310649457239505,accepted two-stage estimate,
Agricultural expansion,60,primary spaced outer boundary,Park-centred control minus Militia-centred control,-0.0318431310860776,-0.405448809243813,0.341762547071657,accepted two-stage estimate,
Agricultural expansion,-20,inner descriptive check,Park-centred control minus Fragmented control,0.0884858914482998,-0.0925715332632072,0.269543316159807,accepted two-stage estimate,
Agricultural expansion,-15,inner descriptive check,Park-centred control minus Fragmented control,-0.345581946220086,-0.979936846372986,0.288772953932815,accepted two-stage estimate,
Agricultural expansion,0,legal boundary,Park-centred control minus Fragmented control,-0.633446962428786,-1.24385778329436,-0.0230361415632143,accepted two-stage estimate,
Agricultural expansion,20,primary spaced outer boundary,Park-centred control minus Fragmented control,-0.198394739855906,-0.743588218787147,0.346798739075335,accepted two-stage estimate,
