cell,x,y,distance_to_park_boundary_km,signed_distance_km,side,in_primary_10km,authoritative_cluster,reproduced_cluster_raw,reproduced_cluster_clean,reproduced_cluster_matched,changed_by_despeckling_stage,connected_component,largest_component_share
21924,342250,9113250,118.595953125,118.595953125,outside,FALSE,1,3,3,3,FALSE,1,1
22366,339750,9112750,120.6751875,120.6751875,outside,FALSE,1,3,3,3,FALSE,1,1
24584,554750,9110750,60.913875,60.913875,outside,FALSE,3,1,1,1,FALSE,1,1
25022,550250,9110250,57.9827578125,57.9827578125,outside,FALSE,3,1,1,1,FALSE,1,1
25457,544250,9109750,54.56418359375,54.56418359375,outside,FALSE,1,3,3,3,FALSE,1,1
27687,541750,9107250,51.20791015625,51.20791015625,outside,FALSE,1,3,3,3,FALSE,1,1
29918,539750,9104750,48.0884609375,48.0884609375,outside,FALSE,1,3,3,3,FALSE,1,1
30816,541750,9103750,48.0884609375,48.0884609375,outside,FALSE,1,3,3,3,FALSE,1,1
37975,545250,9095750,43.2001171875,43.2001171875,outside,FALSE,1,3,3,3,FALSE,1,1
38035,351750,9095250,102.602390625,102.602390625,outside,FALSE,3,1,1,1,FALSE,1,1
38879,550250,9094750,45.6426328125,45.6426328125,outside,FALSE,3,1,1,1,FALSE,1,1
39312,543250,9094250,40.80441015625,40.80441015625,outside,FALSE,1,3,3,3,FALSE,1,1
40270,351750,9092750,101.136046875,101.136046875,outside,FALSE,3,1,1,1,FALSE,1,1
40647,540250,9092750,37.8582890625,37.8582890625,outside,FALSE,3,1,1,1,FALSE,1,1
40649,541250,9092750,38.422,38.422,outside,FALSE,3,1,1,1,FALSE,1,1
41551,545250,9091750,40.07805078125,40.07805078125,outside,FALSE,1,3,3,3,FALSE,1,1
43349,550250,9089750,42.07433984375,42.07433984375,outside,FALSE,3,1,1,1,FALSE,1,1
43761,532750,9089250,31.0845625,31.0845625,outside,FALSE,3,1,1,1,FALSE,1,1
47821,551250,9084750,39.51265625,39.51265625,outside,FALSE,3,1,1,1,FALSE,1,1
49165,552750,9083250,39.81519921875,39.81519921875,outside,FALSE,3,1,1,1,FALSE,1,1
49169,554750,9083250,41.46383984375,41.46383984375,outside,FALSE,3,1,1,1,FALSE,1,1
55000,341250,9076250,102.044109375,102.044109375,outside,FALSE,3,1,1,1,FALSE,1,1
55517,376250,9075750,71.317953125,71.317953125,outside,FALSE,1,3,3,3,FALSE,1,1
55897,342750,9075250,100.2658984375,100.2658984375,outside,FALSE,3,1,1,1,FALSE,1,1
55964,376250,9075250,71.0281640625,71.0281640625,outside,FALSE,1,3,3,3,FALSE,1,1
57722,361250,9073250,82.7647265625,82.7647265625,outside,FALSE,1,3,3,3,FALSE,1,1
58169,361250,9072750,82.530296875,82.530296875,outside,FALSE,1,3,3,3,FALSE,1,1
60824,347750,9069750,93.5013359375,93.5013359375,outside,FALSE,3,1,1,1,FALSE,1,1
62166,348250,9068250,92.4770234375,92.4770234375,outside,FALSE,3,1,1,1,FALSE,1,1
62615,349250,9067750,91.3632890625,91.3632890625,outside,FALSE,3,1,1,1,FALSE,1,1
63073,354750,9067250,86.077,86.077,outside,FALSE,1,3,3,3,FALSE,1,1
63508,348750,9066750,91.4685703125,91.4685703125,outside,FALSE,3,1,1,1,FALSE,1,1
66499,503250,9063750,2.91547583007813,2.91547583007813,outside,TRUE,3,1,1,1,FALSE,1,1
67391,502250,9062750,2.91547583007813,2.91547583007813,outside,TRUE,3,1,1,1,FALSE,1,1
67572,369250,9062250,70.7742890625,70.7742890625,outside,FALSE,1,3,3,3,FALSE,1,1
67580,373250,9062250,67.119296875,67.119296875,outside,FALSE,1,3,3,3,FALSE,1,1
67581,373750,9062250,66.6652109375,66.6652109375,outside,FALSE,1,3,3,3,FALSE,1,1
68477,374750,9061250,65.33949609375,65.33949609375,outside,FALSE,1,3,3,3,FALSE,1,1
68478,375250,9061250,64.88451171875,64.88451171875,outside,FALSE,1,3,3,3,FALSE,1,1
72038,367250,9057250,70.83784375,70.83784375,outside,FALSE,1,3,3,3,FALSE,1,1
77437,384750,9051250,52.33784375,52.33784375,outside,FALSE,1,3,3,3,FALSE,1,1
77884,384750,9050750,52.17758203125,52.17758203125,outside,FALSE,1,3,3,3,FALSE,1,1
79596,346750,9048750,88.6932890625,88.6932890625,outside,FALSE,1,3,3,3,FALSE,1,1
93591,415750,9033250,18.506755859375,18.506755859375,outside,FALSE,2,1,1,1,FALSE,1,1
93593,416750,9033250,17.507140625,17.507140625,outside,FALSE,2,1,1,1,FALSE,1,1
95864,434750,9030750,0.5,-0.5,inside,TRUE,1,2,2,2,FALSE,1,1
96727,419250,9029750,14.63728125,14.63728125,outside,FALSE,1,2,2,2,FALSE,1,1
96756,433750,9029750,0.707106811523437,0.707106811523437,outside,TRUE,1,2,2,2,FALSE,1,1
98102,436250,9028250,2.5,-2.5,inside,TRUE,2,1,1,1,FALSE,1,1
99437,433250,9026750,1.11803393554687,1.11803393554687,outside,TRUE,1,2,2,2,FALSE,1,1
100293,414250,9025750,19.602294921875,19.602294921875,outside,FALSE,2,1,1,1,FALSE,1,1
102075,411250,9023750,22.8527890625,22.8527890625,outside,FALSE,1,2,2,2,FALSE,1,1
102076,411750,9023750,22.3606796875,22.3606796875,outside,FALSE,1,2,2,2,FALSE,1,1
103446,426250,9022250,9.3005380859375,9.3005380859375,outside,TRUE,1,2,2,2,FALSE,1,1
103886,422750,9021750,12.5299638671875,12.5299638671875,outside,FALSE,1,2,2,2,FALSE,1,1
103893,426250,9021750,9.6046865234375,9.6046865234375,outside,TRUE,1,2,2,2,FALSE,1,1
105661,416250,9019750,19.241880859375,19.241880859375,outside,FALSE,1,2,2,2,FALSE,1,1
106095,409750,9019250,25.46075390625,25.46075390625,outside,FALSE,1,2,2,2,FALSE,1,1
106148,436250,9019250,5.5,5.5,outside,TRUE,1,2,2,2,FALSE,1,1
106595,436250,9018750,6,6,outside,TRUE,1,2,2,2,FALSE,1,1
106653,465250,9018750,12.816005859375,-12.816005859375,inside,FALSE,1,2,2,2,FALSE,1,1
107866,401250,9017250,33.1850859375,33.1850859375,outside,FALSE,1,2,2,2,FALSE,1,1
107899,417750,9017250,19.13766015625,19.13766015625,outside,FALSE,1,2,2,2,FALSE,1,1
108314,401750,9016750,32.5,32.5,outside,FALSE,1,2,2,2,FALSE,1,1
109209,402250,9015750,31.384708984375,31.384708984375,outside,FALSE,1,2,2,2,FALSE,1,1
109217,406250,9015750,29.54657421875,29.54657421875,outside,FALSE,1,2,2,2,FALSE,1,1
109231,413250,9015750,23.753947265625,23.753947265625,outside,FALSE,1,2,2,2,FALSE,1,1
109240,417750,9015750,19.981240234375,19.981240234375,outside,FALSE,1,2,2,2,FALSE,1,1
109659,403750,9015250,30.207615234375,30.207615234375,outside,FALSE,1,2,2,2,FALSE,1,1
109678,413250,9015250,24.0104140625,24.0104140625,outside,FALSE,1,2,2,2,FALSE,1,1
110122,411750,9014750,25.553865234375,25.553865234375,outside,FALSE,1,2,2,2,FALSE,1,1
113239,405750,9011250,25.739076171875,25.739076171875,outside,FALSE,1,2,2,2,FALSE,1,1
113682,403750,9010750,26.348625,26.348625,outside,FALSE,1,2,2,2,FALSE,1,1
114221,449750,9010250,2.1213203125,2.1213203125,outside,TRUE,1,3,3,3,FALSE,1,1
114223,450750,9010250,1.41421362304688,1.41421362304688,outside,TRUE,1,3,3,3,FALSE,1,1
119042,401750,9004750,22.983689453125,22.983689453125,outside,FALSE,1,2,2,2,FALSE,1,1
120068,467750,9003750,16.5529453125,-16.5529453125,inside,FALSE,2,1,1,1,FALSE,1,1
120381,400750,9003250,22.638462890625,22.638462890625,outside,FALSE,1,2,2,2,FALSE,1,1
120382,401250,9003250,22.276669921875,22.276669921875,outside,FALSE,1,2,2,2,FALSE,1,1
125892,474250,8997250,21.931712890625,-21.931712890625,inside,FALSE,3,1,1,1,FALSE,1,1
126454,531750,8996750,14.0801279296875,14.0801279296875,outside,FALSE,1,3,3,3,FALSE,1,1
126901,531750,8996250,14.5602197265625,14.5602197265625,outside,FALSE,1,3,3,3,FALSE,1,1
128560,467250,8994250,21.6390859375,-21.6390859375,inside,FALSE,1,3,3,3,FALSE,1,1
129867,450250,8992750,12.257650390625,-12.257650390625,inside,FALSE,1,3,3,3,FALSE,1,1
130314,450250,8992250,12.747548828125,-12.747548828125,inside,FALSE,1,3,3,3,FALSE,1,1
131197,444750,8991250,13.82931640625,-13.82931640625,inside,FALSE,1,3,3,3,FALSE,1,1
132142,470250,8990250,20.30394140625,-20.30394140625,inside,FALSE,1,2,2,2,FALSE,1,1
134320,441750,8987750,13.601470703125,-13.601470703125,inside,FALSE,1,3,3,3,FALSE,1,1
136978,429750,8984750,6.7082041015625,-6.7082041015625,inside,TRUE,1,3,3,3,FALSE,1,1
137874,430750,8983750,8.0622578125,-8.0622578125,inside,TRUE,1,3,3,3,FALSE,1,1
137953,470250,8983750,17,-17,inside,FALSE,1,2,2,2,FALSE,1,1
137954,470750,8983750,16.5529453125,-16.5529453125,inside,FALSE,1,2,2,2,FALSE,1,1
138321,430750,8983250,8.321658203125,-8.321658203125,inside,TRUE,1,3,3,3,FALSE,1,1
139293,469750,8982250,16.807736328125,-16.807736328125,inside,FALSE,3,1,1,1,FALSE,1,1
139738,468750,8981750,17.55705078125,-17.55705078125,inside,FALSE,3,1,1,1,FALSE,1,1
140187,469750,8981250,16.446884765625,-16.446884765625,inside,FALSE,2,1,1,1,FALSE,1,1
140196,474250,8981250,12.2983740234375,-12.2983740234375,inside,FALSE,2,1,1,1,FALSE,1,1
141095,476750,8980250,9.6176923828125,-9.6176923828125,inside,TRUE,2,1,1,1,FALSE,1,1
141542,476750,8979750,9.3941474609375,-9.3941474609375,inside,TRUE,2,1,1,1,FALSE,1,1
143328,475750,8977750,9.708244140625,-9.708244140625,inside,TRUE,2,1,1,1,FALSE,1,1
143329,476250,8977750,9.219544921875,-9.219544921875,inside,TRUE,2,1,1,1,FALSE,1,1
144219,474250,8976750,11.045361328125,-11.045361328125,inside,FALSE,2,1,1,1,FALSE,1,1
144327,528250,8976750,27.932955078125,27.932955078125,outside,FALSE,2,1,1,1,FALSE,1,1
145107,471250,8975750,13.462912109375,-13.462912109375,inside,FALSE,3,2,2,2,FALSE,1,1
145896,418750,8974750,9.552486328125,-9.552486328125,inside,TRUE,1,3,3,3,FALSE,1,1
145909,425250,8974750,12.6589892578125,-12.6589892578125,inside,FALSE,3,1,1,1,FALSE,1,1
146894,470750,8973750,13.3416640625,-13.3416640625,inside,FALSE,1,2,2,2,FALSE,1,1
147251,425750,8973250,14.221462890625,-14.221462890625,inside,FALSE,3,1,1,1,FALSE,1,1
147343,471750,8973250,12.257650390625,-12.257650390625,inside,FALSE,3,1,1,1,FALSE,1,1
147344,472250,8973250,11.7686025390625,-11.7686025390625,inside,FALSE,3,2,2,2,FALSE,1,1
148253,479750,8972250,4.272001953125,-4.272001953125,inside,TRUE,3,1,1,1,FALSE,1,1
