file,scope,n_positive_jd,n_zero_observed_unburned,n_minus1_not_observed,n_minus2_nonburnable,n_na,n_other,n_total,basename,year,month,p_positive_jd,p_zero_observed_unburned,p_minus1_not_observed,p_minus2_nonburnable,p_na,p_other
C:/0_Documents/Chapter_1/data/fire/20210401-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20210401-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,cropped_buffered_template_extent,1122,1059264,1892,34106,0,0,1096384,20210401-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2021,4,0.0010233640768198,0.966143249080614,0.00172567275699025,0.0311077140855759,0,0
C:/0_Documents/Chapter_1/data/fire/20210501-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20210501-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,cropped_buffered_template_extent,51802,1010476,0,34106,0,0,1096384,20210501-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2021,5,0.0472480444807659,0.921644241433658,0,0.0311077140855759,0,0
C:/0_Documents/Chapter_1/data/fire/20210601-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20210601-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,cropped_buffered_template_extent,175620,886658,0,34106,0,0,1096384,20210601-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2021,6,0.160181104430564,0.80871118148386,0,0.0311077140855759,0,0
C:/0_Documents/Chapter_1/data/fire/20210701-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20210701-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,cropped_buffered_template_extent,209878,852400,0,34106,0,0,1096384,20210701-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2021,7,0.191427456073784,0.77746482984064,0,0.0311077140855759,0,0
C:/0_Documents/Chapter_1/data/fire/20210801-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20210801-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,cropped_buffered_template_extent,92056,970221,1,34106,0,0,1096384,20210801-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2021,8,0.083963282937365,0.884928090887864,9.1208919502656e-07,0.0311077140855759,0,0
C:/0_Documents/Chapter_1/data/fire/20210901-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20210901-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,cropped_buffered_template_extent,19187,1043070,21,34106,0,0,1096384,20210901-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2021,9,0.0175002553849746,0.951372876656354,1.91538730955578e-05,0.0311077140855759,0,0
C:/0_Documents/Chapter_1/data/fire/20211001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20211001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,cropped_buffered_template_extent,1458,1060782,38,34106,0,0,1096384,20211001-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2021,10,0.00132982604634872,0.967527800478664,3.46593894110093e-05,0.0311077140855759,0,0
C:/0_Documents/Chapter_1/data/fire/20220401-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220401-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,cropped_buffered_template_extent,913,1061365,0,34106,0,0,1096384,20220401-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,4,0.000832737435059249,0.968059548479365,0,0.0311077140855759,0,0
C:/0_Documents/Chapter_1/data/fire/20220501-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220501-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,cropped_buffered_template_extent,37034,1025244,0,34106,0,0,1096384,20220501-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,5,0.0337783112486136,0.93511397466581,0,0.0311077140855759,0,0
C:/0_Documents/Chapter_1/data/fire/20220601-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1/20220601-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,cropped_buffered_template_extent,167188,895090,0,34106,0,0,1096384,20220601-ESACCI-L3S_FIRE-BA-MODIS-AREA_5-fv5.1-JD.tif,2022,6,0.152490368338101,0.816401917576324,0,0.0311077140855759,0,0
