solution,frozen_group,matched_group,side,cells,area_km2
selected_k,1,1,outside,109034,27258.5
selected_k,3,3,outside,54059,13514.75
selected_k,3,1,outside,1106,276.5
selected_k,1,3,outside,2086,521.5
selected_k,1,1,inside,12185,3046.25
selected_k,3,3,inside,24305,6076.25
selected_k,3,1,inside,1413,353.25
selected_k,2,1,outside,833,208.25
selected_k,2,2,outside,41470,10367.5
selected_k,2,1,inside,749,187.25
selected_k,2,2,inside,899,224.75
selected_k,1,2,outside,148,37
selected_k,3,2,outside,15,3.75
selected_k,2,3,outside,73,18.25
selected_k,1,3,inside,60,15
k3,1,1,outside,109034,27258.5
k3,3,3,outside,54059,13514.75
k3,3,1,outside,1106,276.5
k3,1,3,outside,2086,521.5
k3,1,1,inside,12185,3046.25
k3,3,3,inside,24305,6076.25
k3,3,1,inside,1413,353.25
k3,2,1,outside,833,208.25
k3,2,2,outside,41470,10367.5
k3,2,1,inside,749,187.25
k3,2,2,inside,899,224.75
k3,1,2,outside,148,37
k3,3,2,outside,15,3.75
k3,2,3,outside,73,18.25
k3,1,3,inside,60,15
