spatial_design,SESU_ID,side,outcome,total_events,total_cell_years_at_risk,group_years_zero_events,group_years_zero_cells_at_risk
all_cells,1,inside,fire,132132,269390,0,0
all_cells,1,inside,tree_cover_loss,143,14178,4,0
all_cells,1,inside,agriculture,255,267117,1,0
all_cells,1,outside,fire,1275819,2447896,0,0
all_cells,1,outside,tree_cover_loss,4541,485919,0,0
all_cells,1,outside,agriculture,2410,2428697,0,0
all_cells,2,inside,fire,24764,36256,0,0
all_cells,2,inside,tree_cover_loss,0,1342,22,0
all_cells,2,inside,agriculture,2,36222,21,0
all_cells,2,outside,fire,716939,932272,0,0
all_cells,2,outside,tree_cover_loss,164,618072,7,0
all_cells,2,outside,agriculture,77,931614,1,0
all_cells,3,inside,fire,372222,565796,0,0
all_cells,3,inside,tree_cover_loss,5,162127,19,0
all_cells,3,inside,agriculture,0,565796,22,0
all_cells,3,outside,fire,687985,1213960,0,0
all_cells,3,outside,tree_cover_loss,771,174164,1,0
all_cells,3,outside,agriculture,20,1213808,9,0
buffer_05km,1,inside,fire,38849,96140,0,0
buffer_05km,1,inside,tree_cover_loss,136,13898,4,0
buffer_05km,1,inside,agriculture,228,94077,1,0
buffer_05km,1,outside,fire,40909,114224,0,0
buffer_05km,1,outside,tree_cover_loss,139,24270,2,0
buffer_05km,1,outside,agriculture,164,112750,0,0
buffer_05km,2,inside,fire,10349,12650,0,0
buffer_05km,2,inside,tree_cover_loss,0,902,22,0
buffer_05km,2,inside,agriculture,2,12616,21,0
buffer_05km,2,outside,fire,12269,15906,0,0
buffer_05km,2,outside,tree_cover_loss,11,1331,19,0
buffer_05km,2,outside,agriculture,7,15859,19,0
buffer_05km,3,inside,fire,88276,149974,0,0
buffer_05km,3,inside,tree_cover_loss,2,36896,21,0
buffer_05km,3,inside,agriculture,0,149974,22,0
buffer_05km,3,outside,fire,84116,136972,0,0
buffer_05km,3,outside,tree_cover_loss,36,18301,12,0
buffer_05km,3,outside,agriculture,0,136972,22,0
buffer_10km,1,inside,fire,74688,167464,0,0
buffer_10km,1,inside,tree_cover_loss,142,14092,4,0
buffer_10km,1,inside,agriculture,254,165205,1,0
buffer_10km,1,outside,fire,88244,220418,0,0
buffer_10km,1,outside,tree_cover_loss,262,45699,0,0
buffer_10km,1,outside,agriculture,261,218167,0,0
buffer_10km,2,inside,fire,12396,17292,0,0
buffer_10km,2,inside,tree_cover_loss,0,902,22,0
buffer_10km,2,inside,agriculture,2,17258,21,0
buffer_10km,2,outside,fire,25735,34254,0,0
buffer_10km,2,outside,tree_cover_loss,12,4923,18,0
buffer_10km,2,outside,agriculture,9,34184,18,0
buffer_10km,3,inside,fire,175809,284592,0,0
buffer_10km,3,inside,tree_cover_loss,4,76667,19,0
buffer_10km,3,inside,agriculture,0,284592,22,0
buffer_10km,3,outside,fire,163830,263714,0,0
buffer_10km,3,outside,tree_cover_loss,111,31199,6,0
buffer_10km,3,outside,agriculture,3,263693,20,0
buffer_20km,1,inside,fire,118173,247742,0,0
buffer_20km,1,inside,tree_cover_loss,142,14114,4,0
buffer_20km,1,inside,agriculture,255,245469,1,0
buffer_20km,1,outside,fire,209512,462858,0,0
buffer_20km,1,outside,tree_cover_loss,502,100151,0,0
buffer_20km,1,outside,agriculture,322,460231,0,0
buffer_20km,2,inside,fire,21284,31504,0,0
buffer_20km,2,inside,tree_cover_loss,0,1276,22,0
buffer_20km,2,inside,agriculture,2,31470,21,0
buffer_20km,2,outside,fire,72872,99440,0,0
buffer_20km,2,outside,tree_cover_loss,13,39893,18,0
buffer_20km,2,outside,agriculture,13,99309,15,0
buffer_20km,3,inside,fire,315369,481118,0,0
buffer_20km,3,inside,tree_cover_loss,5,141623,19,0
buffer_20km,3,inside,agriculture,0,481118,22,0
buffer_20km,3,outside,fire,285958,461626,0,0
buffer_20km,3,outside,tree_cover_loss,227,66622,3,0
buffer_20km,3,outside,agriculture,10,461531,14,0
