spatial_design,SESU_ID,inside_cells,outside_cells,total_cells,inside_area_km2,outside_area_km2,inside_to_outside_cell_ratio,pct_group_inside,all_inside,pct_all_park_interior_cells_contributed,min_annual_risk_inside,min_annual_risk_outside,years_with_inside_cells,years_with_outside_cells,years_with_cells_on_both_sides,boundary_adjacent_cells
all_cells,1,12245,111268,123513,3061.25,27817,0.11004960995075,9.91393618485504,39611,30.9131301911085,12245,111268,22,22,22,123513
all_cells,2,1648,42376,44024,412,10594,0.0388899377005852,3.74341268399055,39611,4.16046047815001,1648,42376,22,22,22,44024
all_cells,3,25718,55180,80898,6429.5,13795,0.466074664733599,31.7906499542634,39611,64.9264093307415,25718,55180,22,22,22,80898
buffer_05km,1,4370,5192,9562,1092.5,1298,0.841679506933744,45.7017360384857,11762,37.1535453154226,4370,5192,22,22,22,9562
buffer_05km,2,575,723,1298,143.75,180.75,0.795297372060858,44.2989214175655,11762,4.88862438360823,575,723,22,22,22,1298
buffer_05km,3,6817,6226,13043,1704.25,1556.5,1.09492451011886,52.2655830713793,11762,57.9578303009692,6817,6226,22,22,22,13043
buffer_10km,1,7612,10019,17631,1903,2504.75,0.75975646272083,43.1739549656854,21334,35.6801349957814,7612,10019,22,22,22,17631
buffer_10km,2,786,1557,2343,196.5,389.25,0.504816955684008,33.5467349551857,21334,3.68425986687916,786,1557,22,22,22,2343
buffer_10km,3,12936,11987,24923,3234,2996.75,1.07916909985818,51.9038639008145,21334,60.6356051373395,12936,11987,22,22,22,24923
buffer_20km,1,11261,21039,32300,2815.25,5259.75,0.535244070535672,34.8637770897833,34562,32.5820265030959,11261,21039,22,22,22,32300
buffer_20km,2,1432,4520,5952,358,1130,0.316814159292035,24.0591397849462,34562,4.14327874544297,1432,4520,22,22,22,5952
buffer_20km,3,21869,20983,42852,5467.25,5245.75,1.04222465805652,51.0337907215533,34562,63.2746947514611,21869,20983,22,22,22,42852
