"OriginalPath","QuarantinePath","Action","SHA256Before","SHA256After","Reason","DependencyCheck","ValidationStatus"
"outputs\publication\supplement\figures\Figure_S3_historical_landscape_diagnostics.pdf","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\supplement\figures\Figure_S3_historical_landscape_diagnostics.pdf","quarantined and removed from canonical","6221FD699E7997F22BAC956692C4BC9B778F5F26C021874CFED8D5B4BF557053","6221FD699E7997F22BAC956692C4BC9B778F5F26C021874CFED8D5B4BF557053","obsolete former historical Figure S3 or old Figure S4 active artifact","replaced by Table S13 and Figure S3 pairwise pseudo-boundary output","hash verified"
"outputs\publication\supplement\figures\Figure_S3_historical_landscape_diagnostics.png","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\supplement\figures\Figure_S3_historical_landscape_diagnostics.png","quarantined and removed from canonical","1BC196F7DCF2E67D1BDA022AF39CC17413CB4680A856A71B16D55AA09F4962AD","1BC196F7DCF2E67D1BDA022AF39CC17413CB4680A856A71B16D55AA09F4962AD","obsolete former historical Figure S3 or old Figure S4 active artifact","replaced by Table S13 and Figure S3 pairwise pseudo-boundary output","hash verified"
"outputs\publication\supplement\figures\Figure_S4_pairwise_pseudo_boundary_diagnostic.pdf","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\supplement\figures\Figure_S4_pairwise_pseudo_boundary_diagnostic.pdf","quarantined and removed from canonical","79F3907B2865684AB32FA8444A5B01749143902D69E3D9B973F60DA8AB95167D","79F3907B2865684AB32FA8444A5B01749143902D69E3D9B973F60DA8AB95167D","obsolete former historical Figure S3 or old Figure S4 active artifact","replaced by Table S13 and Figure S3 pairwise pseudo-boundary output","hash verified"
"outputs\publication\supplement\figures\Figure_S4_pairwise_pseudo_boundary_diagnostic.png","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\supplement\figures\Figure_S4_pairwise_pseudo_boundary_diagnostic.png","quarantined and removed from canonical","C63504BB623F632E741B3ABC59B25DBBC0713CBFD92B0C4BB7784FE1ED9AA4C3","C63504BB623F632E741B3ABC59B25DBBC0713CBFD92B0C4BB7784FE1ED9AA4C3","obsolete former historical Figure S3 or old Figure S4 active artifact","replaced by Table S13 and Figure S3 pairwise pseudo-boundary output","hash verified"
"outputs\publication\supplement\source_data\Figure_S3_source_data.csv","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\supplement\source_data\Figure_S3_source_data.csv","quarantined and removed from canonical","6549195E26B562287E675B5FF8643CB8C4EEE4D4DB18D5615E5AE71D50C96FA1","6549195E26B562287E675B5FF8643CB8C4EEE4D4DB18D5615E5AE71D50C96FA1","obsolete former historical Figure S3 or old Figure S4 active artifact","replaced by Table S13 and Figure S3 pairwise pseudo-boundary output","hash verified"
"outputs\publication\supplement\source_data\Figure_S4_source_data.csv","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\supplement\source_data\Figure_S4_source_data.csv","quarantined and removed from canonical","B15535F3CB3291CC307FBBB35A944F15EE9406C127822CEB90C201033593C213","B15535F3CB3291CC307FBBB35A944F15EE9406C127822CEB90C201033593C213","obsolete former historical Figure S3 or old Figure S4 active artifact","replaced by Table S13 and Figure S3 pairwise pseudo-boundary output","hash verified"
"outputs\publication\review_v1\main_figures\Figure_1_study_design.pdf","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\review_v1\main_figures\Figure_1_study_design.pdf","quarantined and removed from canonical","67E213EDBE4524968EE5BBCDCC59E55C4F3B9961DDAB9088A7C21026D14394BF","67E213EDBE4524968EE5BBCDCC59E55C4F3B9961DDAB9088A7C21026D14394BF","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"outputs\publication\review_v1\main_figures\Figure_1_study_design.png","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\review_v1\main_figures\Figure_1_study_design.png","quarantined and removed from canonical","635D0EF01D113719959DE65ACB2EF1DEBDD95AAC204BAF094C2FC9FC0820FE90","635D0EF01D113719959DE65ACB2EF1DEBDD95AAC204BAF094C2FC9FC0820FE90","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"outputs\publication\review_v1\main_figures\Figure_2_chronology_time_series.pdf","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\review_v1\main_figures\Figure_2_chronology_time_series.pdf","quarantined and removed from canonical","3949102A44DD3A0DB4B2AAA5749DC81A48A2428E4C5A8A257C8D7FC2C64FF924","3949102A44DD3A0DB4B2AAA5749DC81A48A2428E4C5A8A257C8D7FC2C64FF924","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"outputs\publication\review_v1\main_figures\Figure_2_chronology_time_series.png","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\review_v1\main_figures\Figure_2_chronology_time_series.png","quarantined and removed from canonical","D246234E78623AB12AE71D8594A827B42C64B35A7A3B2E0D9AAFD5D2684C9F51","D246234E78623AB12AE71D8594A827B42C64B35A7A3B2E0D9AAFD5D2684C9F51","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
