path,size_bytes,size_mib,category,action
reports/fire_missingness_resolution/fire_missingness_bounds_500m.csv,34368496,32.776,below_50_MiB,eligible if scientifically appropriate
outputs/publication/main_figures/Figure_1_study_design.png,1945215,1.855,below_50_MiB,eligible if scientifically appropriate
analysis_spatial_falsification_revised_dev/figures/revised_pseudo_boundary_map.png,1449420,1.382,below_50_MiB,eligible if scientifically appropriate
outputs/publication/main_figures/Figure_1_study_design.pdf,1371969,1.308,below_50_MiB,eligible if scientifically appropriate
outputs/publication/manuscript/Chapter1_manuscript_final.docx,1131457,1.079,below_50_MiB,eligible if scientifically appropriate
outputs/publication/supplement/Chapter1_Supplementary_Material_final.docx,731216,0.697,below_50_MiB,eligible if scientifically appropriate
analysis_spatial_falsification_revised_dev/tables/sparse_boundary_sesu_year_contrasts.csv,648213,0.618,below_50_MiB,eligible if scientifically appropriate
outputs/publication/main_figures/Figure_4_boundary_location_diagnostic.png,592818,0.565,below_50_MiB,eligible if scientifically appropriate
outputs/publication/main_figures/Figure_2_chronology_time_series.png,585906,0.559,below_50_MiB,eligible if scientifically appropriate
analysis_governance_profiles_robustness_dev/tables/bootstrap_replicate_diagnostics.csv,540480,0.515,below_50_MiB,eligible if scientifically appropriate
analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv,492147,0.469,below_50_MiB,eligible if scientifically appropriate
reports/repository/two_repository_inventory.csv,420245,0.401,below_50_MiB,eligible if scientifically appropriate
analysis_spatial_threshold_sensitivity_dev/tables/event_support_detailed.csv,368615,0.352,below_50_MiB,eligible if scientifically appropriate
renv.lock,362192,0.345,below_50_MiB,eligible if scientifically appropriate
outputs/publication/supplement/figures/Figure_S2_threshold_spatial_sensitivities.png,333640,0.318,below_50_MiB,eligible if scientifically appropriate
outputs/publication/main_figures/Figure_3_primary_contrasts.png,319978,0.305,below_50_MiB,eligible if scientifically appropriate
analysis_spatial_threshold_sensitivity_dev/tables/sparse_outcome_sesu_year_contrasts.csv,249761,0.238,below_50_MiB,eligible if scientifically appropriate
outputs/publication/supplement/figures/Figure_S3_pairwise_pseudo_boundary_diagnostic.png,242731,0.231,below_50_MiB,eligible if scientifically appropriate
analysis_governance_profiles_robustness_dev/tables/transition_sensitivity_fit_diagnostics.csv,242318,0.231,below_50_MiB,eligible if scientifically appropriate
outputs/publication/supplement/figures/Figure_S1_clustering_diagnostics.png,232532,0.222,below_50_MiB,eligible if scientifically appropriate
reports/repository/duplicate_groups.csv,217148,0.207,below_50_MiB,eligible if scientifically appropriate
analysis_spatial_falsification_revised_dev/figures/sparse_profile_contrasts_by_boundary_center.png,139261,0.133,below_50_MiB,eligible if scientifically appropriate
outputs/publication/supplement/Chapter1_Supplementary_Material.html,124876,0.119,below_50_MiB,eligible if scientifically appropriate
data/manifests/required_external_inputs.csv,99902,0.095,below_50_MiB,eligible if scientifically appropriate
analysis_governance_profiles_robustness_dev/tables/leave_one_episode_out_fit_diagnostics.csv,94212,0.090,below_50_MiB,eligible if scientifically appropriate
analysis_spatial_falsification_revised_dev/figures/fire_profile_contrasts_by_boundary_center.png,91835,0.088,below_50_MiB,eligible if scientifically appropriate
