repository,relative_path,extension,size_bytes,sha256,git_tracked,modified_time,referenced_by_code_or_docs,referenced_by_manuscript,referenced_by_supplement,referenced_by_manifest,listed_in_Table_S18,sensitive_or_restricted_concern,appears_generated,byte_identical_in_other_directory,classification
Chapter_1,.gitignore,,2419,bdd8b9192a12638d6073190ba3cc8664ab2b03100d3a4984fec8f9d466f55c34,True,2026-06-24T12:38:27,True,False,False,False,False,,False,False,unknown
Chapter_1,.Rbuildignore,,22,79198c52da09e55573496f3721996771e024abd22ef1809ad3168e4a31c52cf1,True,2026-06-23T10:08:23,True,False,False,False,False,,False,False,unknown
Chapter_1,.Rprofile,,27,08654ee73bbfa9d016a10709f3589fea6a343a19b6539206ed2eabbac69001f6,True,2026-06-23T10:07:55,True,False,False,False,False,,False,True,unknown
Chapter_1,chapter 1 manuscript.docx,.docx,1193902,a1ed3e537da132b601c8cb4eff3d5d46a65b5d165fa4c19f94a020462e42401b,False,2026-06-05T13:19:46,True,True,False,False,False,,False,False,unknown
Chapter_1,Chapter_1_10022026.zip,.zip,1162228258,9d3e1b035ba9ee250f17a7b35079200b45fa82d64a3efb2ddbba87d283c613be,False,2026-02-10T10:54:27,True,False,False,False,False,,False,False,unknown
Chapter_1,De Beurs Malaria Caucasus.pdf,.pdf,5034774,712a4506d8e2a64db378f97d11c64a349f1fa35d0b4a978d9de308c56fd97e92,False,2025-05-28T13:12:36,True,False,False,False,False,,True,False,generated intermediate
Chapter_1,DESCRIPTION,,402,ce54248412875d13b233332ce690b7e0273f043eedeb198f512c2326bf1abeef,True,2026-06-23T10:08:20,True,False,False,False,False,,False,False,unknown
Chapter_1,draft_new_2506.docx,.docx,831195,40819cd73a9c0887ca43e593e1c6a10a23cd95977b65a03e5b9a0d0e3aaf6a1c,False,2026-06-25T08:20:51,False,False,False,False,False,,False,False,unknown
Chapter_1,feedback Nik.docx,.docx,28401,d876ec565952f14e9cdb373d346d189524e204def7827a8871d08b40fdac1019,False,2026-06-11T18:54:29,True,False,False,False,False,,False,False,unknown
Chapter_1,PROJECT_STATE.md,.md,11404,135bcc007d4e1e49d0f16f131549d37955d8c22199a7748f8f71a73059c17944,True,2026-06-24T12:47:11,True,True,False,False,False,,False,False,unknown
Chapter_1,README.md,.md,7845,7f5dbbc50e53f8f6b27d85ae7bd9b59e2535fbca11f00564373f9ecd068d0780,True,2026-06-24T12:47:13,True,True,False,True,False,restricted_security,False,False,restricted or sensitive evidence
Chapter_1,renv.lock,.lock,362192,7c17c519fb2f639d6b529345adb9f088ceeed399a253fa3e502873c7ae5285f9,True,2026-06-23T10:13:38,True,False,False,False,False,,False,True,unknown
