Main-text placeholder,Manuscript section,Replacement,Supporting item
clustering covariates,Methods,Table S1,Table S1
clustering diagnostics,Methods,Tables S2-S3; Figure S1,Tables S2-S3; Figure S1
spatial-design decision,Methods,Tables S4-S5,Tables S4-S5
territorial-control chronology,Methods,Table S6,Table S6
profile support,Methods,Table S7,Table S7
primary numerical estimates,Results,Tables S8-S9,Tables S8-S9
weighting sensitivity,Results,Table S10,Table S10
threshold sensitivity,Robustness,Table S11; Figure S2,Table S11; Figure S2
spatial sensitivity,Robustness,Table S12; Figure S2,Table S12; Figure S2
historical diagnostics,Robustness,Table S13,Table S13
optimizer diagnostics,Methods/Results,Table S14,Table S14
boundary diagnostic,Robustness,Tables S15-S16; Figure S3,Tables S15-S16; Figure S3
measurement audits,Methods,Table S17,Table S17
software and reproducibility,Data and code availability,Table S18,Table S18
